Kentucky, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,27.1,2.9
198002,19.3,-6.9
198003,30.8,-3.4
198004,41.0,-1.9
198005,51.8,-0.3
198006,58.6,-2.2
198007,66.8,2.0
198008,66.9,3.6
198009,59.5,3.1
198010,40.6,-3.6
198011,32.4,-1.8
198012,26.9,-0.1
198101,18.8,-5.4
198102,24.5,-1.7
198103,31.0,-3.2
198104,47.9,5.0
198105,48.7,-3.4
198106,63.2,2.4
198107,66.4,1.6
198108,62.7,-0.6
198109,53.6,-2.8
198110,42.9,-1.3
198111,34.9,0.7
198112,24.3,-2.7
198201,18.4,-5.8
198202,25.8,-0.4
198203,36.1,1.9
198204,38.8,-4.1
198205,55.2,3.1
198206,57.5,-3.3
198207,66.0,1.2
198208,61.3,-2.0
198209,55.1,-1.3
198210,45.2,1.0
198211,37.3,3.1
198212,35.0,8.0
198301,25.8,1.6
198302,28.0,1.8
198303,35.6,1.4
198304,40.1,-2.8
198305,49.6,-2.5
198306,59.5,-1.3
198307,66.1,1.3
198308,66.5,3.2
198309,55.6,-0.8
198310,46.8,2.6
198311,35.7,1.5
198312,20.9,-6.1
198401,19.2,-5.0
198402,29.2,3.0
198403,31.7,-2.5
198404,43.1,0.2
198405,49.1,-3.0
198406,62.6,1.8
198407,61.9,-2.9
198408,63.5,0.2
198409,53.4,-3.0
198410,53.0,8.8
198411,31.9,-2.3
198412,35.4,8.4
198501,17.2,-7.0
198502,22.3,-3.9
198503,37.5,3.3
198504,46.4,3.5
198505,53.6,1.5
198506,59.8,-1.0
198507,64.5,-0.3
198508,63.4,0.1
198509,54.5,-1.9
198510,49.9,5.7
198511,44.7,10.5
198512,20.8,-6.2
198601,21.5,-2.7
198602,31.4,5.2
198603,34.3,0.1
198604,43.8,0.9
198605,54.5,2.4
198606,62.4,1.6
198607,67.4,2.6
198608,60.7,-2.6
198609,60.0,3.6
198610,47.2,3.0
198611,38.1,3.9
198612,28.3,1.3
198701,24.6,0.4
198702,29.5,3.3
198703,35.3,1.1
198704,41.1,-1.8
198705,56.6,4.5
198706,62.6,1.8
198707,65.5,0.7
198708,64.4,1.1
198709,55.7,-0.7
198710,36.9,-7.3
198711,37.2,3.0
198712,30.0,3.0
198801,21.1,-3.1
198802,23.9,-2.3
198803,33.4,-0.8
198804,41.1,-1.8
198805,49.3,-2.8
198806,56.7,-4.1
198807,65.1,0.3
198808,65.7,2.4
198809,56.4,0.0
198810,37.6,-6.6
198811,34.5,0.3
198812,26.0,-1.0
198901,30.2,6.0
198902,25.4,-0.8
198903,36.0,1.8
198904,42.3,-0.6
198905,49.2,-2.9
198906,61.4,0.6
198907,65.5,0.7
198908,63.2,-0.1
198909,56.7,0.3
198910,43.7,-0.5
198911,34.5,0.3
198912,15.3,-11.7
199001,32.0,7.8
199002,33.9,7.7
199003,38.9,4.7
199004,41.4,-1.5
199005,51.6,-0.5
199006,60.6,-0.2
199007,63.9,-0.9
199008,62.6,-0.7
199009,57.6,1.2
199010,43.5,-0.7
199011,37.1,2.9
199012,29.6,2.6
199101,26.2,2.0
199102,28.9,2.7
199103,37.4,3.2
199104,47.4,4.5
199105,59.8,7.7
199106,63.4,2.6
199107,66.5,1.7
199108,62.9,-0.4
199109,57.4,1.0
199110,45.5,1.3
199111,34.1,-0.1
199112,31.0,4.0
199201,26.4,2.2
199202,31.6,5.4
199203,34.6,0.4
199204,43.9,1.0
199205,50.6,-1.5
199206,58.2,-2.6
199207,66.1,1.3
199208,60.5,-2.8
199209,55.9,-0.5
199210,42.1,-2.1
199211,36.9,2.7
199212,28.6,1.6
199301,29.0,4.8
199302,23.6,-2.6
199303,32.7,-1.5
199304,41.3,-1.6
199305,52.2,0.1
199306,60.1,-0.7
199307,68.2,3.4
199308,64.6,1.3
199309,55.7,-0.7
199310,42.4,-1.8
199311,34.0,-0.2
199312,28.4,1.4
199401,18.6,-5.6
199402,26.7,0.5
199403,33.4,-0.8
199404,44.9,2.0
199405,47.1,-5.0
199406,63.1,2.3
199407,65.5,0.7
199408,61.2,-2.1
199409,53.2,-3.2
199410,44.0,-0.2
199411,39.3,5.1
199412,31.8,4.8
