Maine, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,7.4,4.6
198002,3.8,0.0
198003,15.5,-0.2
198004,31.2,3.0
198005,38.4,-0.3
198006,46.9,-1.3
198007,54.9,0.9
198008,54.2,2.4
198009,42.2,-1.7
198010,33.3,-1.0
198011,23.7,-0.7
198012,1.2,-8.7
198101,-4.3,-7.1
198102,17.1,13.3
198103,21.0,5.3
198104,30.9,2.7
198105,41.5,2.8
198106,49.6,1.4
198107,54.9,0.9
198108,51.8,0.0
198109,44.5,0.6
198110,32.9,-1.4
198111,26.7,2.3
198112,17.3,7.4
198201,-5.9,-8.7
198202,3.0,-0.8
198203,14.2,-1.5
198204,26.2,-2.0
198205,39.1,0.4
198206,47.3,-0.9
198207,53.3,-0.7
198208,49.3,-2.5
198209,45.7,1.8
198210,33.6,-0.7
198211,27.9,3.5
198212,16.4,6.5
198301,8.1,5.3
198302,9.0,5.2
198303,22.2,6.5
198304,32.3,4.1
198305,40.2,1.5
198306,49.0,0.8
198307,54.7,0.7
198308,53.5,1.7
198309,46.0,2.1
198310,34.1,-0.2
198311,27.7,3.3
198312,9.6,-0.3
198401,0.6,-2.2
198402,16.2,12.4
198403,11.2,-4.5
198404,29.7,1.5
198405,38.8,0.1
198406,49.0,0.8
198407,56.0,2.0
198408,56.3,4.5
198409,41.3,-2.6
198410,34.4,0.1
198411,25.6,1.2
198412,14.4,4.5
198501,-0.9,-3.7
198502,9.3,5.5
198503,16.0,0.3
198504,26.9,-1.3
198505,37.8,-0.9
198506,48.0,-0.2
198507,54.3,0.3
198508,50.7,-1.1
198509,45.0,1.1
198510,35.1,0.8
198511,24.8,0.4
198512,5.1,-4.8
198601,5.7,2.9
198602,4.4,0.6
198603,15.7,0.0
198604,32.4,4.2
198605,40.3,1.6
198606,45.2,-3.0
198607,52.8,-1.2
198608,51.8,0.0
198609,41.1,-2.8
198610,33.4,-0.9
198611,20.7,-3.7
198612,10.6,0.7
198701,2.4,-0.4
198702,5.0,1.2
198703,18.4,2.7
198704,32.5,4.3
198705,38.5,-0.2
198706,50.0,1.8
198707,54.5,0.5
198708,49.6,-2.2
198709,44.9,1.0
198710,33.8,-0.5
198711,22.8,-1.6
198712,15.6,5.7
198801,2.8,0.0
198802,5.2,1.4
198803,14.8,-0.9
198804,30.7,2.5
198805,41.3,2.6
198806,47.0,-1.2
198807,57.1,3.1
198808,55.7,3.9
198809,43.2,-0.7
198810,33.5,-0.8
198811,28.1,3.7
198812,7.3,-2.6
198901,5.5,2.7
198902,4.2,0.4
198903,10.8,-4.9
198904,27.6,-0.6
198905,43.6,4.9
198906,50.1,1.9
198907,52.3,-1.7
198908,52.6,0.8
198909,44.7,0.8
198910,34.4,0.1
198911,22.3,-2.1
198912,-5.4,-15.3
199001,12.5,9.7
199002,4.3,0.5
199003,16.0,0.3
199004,30.4,2.2
199005,37.9,-0.8
199006,50.0,1.8
199007,55.1,1.1
199008,55.1,3.3
199009,45.0,1.1
199010,38.3,4.0
199011,27.4,3.0
199012,15.7,5.8
199101,1.6,-1.2
199102,8.8,5.0
199103,20.0,4.3
199104,29.9,1.7
199105,40.4,1.7
199106,49.2,1.0
199107,53.4,-0.6
199108,55.1,3.3
199109,41.9,-2.0
199110,37.0,2.7
199111,27.9,3.5
199112,8.5,-1.4
199201,4.3,1.5
199202,5.8,2.0
199203,12.7,-3.0
199204,27.1,-1.1
199205,37.1,-1.6
199206,48.8,0.6
199207,50.2,-3.8
199208,53.6,1.8
199209,44.8,0.9
199210,33.0,-1.3
199211,23.6,-0.8
199212,14.8,4.9
199301,5.2,2.4
199302,-5.1,-8.9
199303,12.0,-3.7
199304,29.4,1.2
199305,39.5,0.8
199306,47.6,-0.6
199307,54.3,0.3
199308,53.7,1.9
199309,44.3,0.4
199310,31.0,-3.3
199311,23.8,-0.6
199312,14.2,4.3
199401,-7.1,-9.9
199402,0.0,-3.8
199403,18.5,2.8
199404,28.6,0.4
199405,37.8,-0.9
199406,51.7,3.5
199407,58.0,4.0
199408,51.5,-0.3
199409,44.5,0.6
199410,35.1,0.8
199411,27.0,2.6
199412,15.2,5.3
199501,12.3,9.5
199502,1.8,-2.0
199503,19.4,3.7
199504,25.6,-2.6
199505,38.6,-0.1
199506,49.6,1.4
199507,57.0,3.0
199508,52.2,0.4
199509,39.3,-4.6
199510,38.7,4.4
199511,23.2,-1.2
199512,8.7,-1.2
199601,3.3,0.5
199602,7.6,3.8
199603,15.3,-0.4
199604,30.2,2.0
199605,37.2,-1.5
199606,50.3,2.1
199607,54.9,0.9
199608,52.6,0.8
199609,46.3,2.4
199610,33.9,-0.4
199611,23.0,-1.4
199612,21.8,11.9
199701,4.2,1.4
199702,7.1,3.3
199703,12.6,-3.1
199704,26.7,-1.5
199705,36.6,-2.1
199706,47.7,-0.5
199707,53.8,-0.2
199708,51.8,0.0
199709,45.2,1.3
199710,33.6,-0.7
199711,23.9,-0.5
199712,11.8,1.9
199801,9.7,6.9
199802,14.1,10.3
199803,19.8,4.1
199804,30.5,2.3
199805,44.1,5.4
199806,50.4,2.2
199807,54.9,0.9
199808,52.6,0.8
199809,46.3,2.4
199810,37.1,2.8
199811,27.5,3.1
199812,17.1,7.2
199901,2.9,0.1
199902,10.3,6.5
199903,22.7,7.0
199904,30.3,2.1
199905,42.2,3.5
199906,52.3,4.1
199907,56.6,2.6
199908,52.5,0.7
199909,50.9,7.0
199910,32.3,-2.0
199911,29.2,4.8
199912,17.9,8.0
200001,4.6,1.8
200002,6.8,3.0
200003,22.5,6.8
200004,30.0,1.8
200005,38.5,-0.2
200006,47.9,-0.3
200007,52.3,-1.7
200008,52.7,0.9
200009,43.4,-0.5
200010,34.4,0.1
200011,29.7,5.3
200012,9.1,-0.8
200101,3.0,0.2
200102,4.8,1.0
200103,14.1,-1.6
200104,27.0,-1.2
200105,40.4,1.7
200106,51.8,3.6
200107,53.3,-0.7
200108,54.4,2.6
200109,45.9,2.0
200110,36.0,1.7
200111,29.9,5.5
200112,21.2,11.3
200201,12.9,10.1
200202,10.2,6.4
200203,17.3,1.6
200204,30.8,2.6
200205,37.1,-1.6
200206,47.0,-1.2
200207,54.5,0.5
200208,54.1,2.3
200209,47.2,3.3
200210,32.5,-1.8
200211,23.6,-0.8
200212,12.4,2.5
200301,-0.1,-2.9
200302,1.8,-2.0
200303,12.7,-3.0
200304,24.6,-3.6
200305,38.7,0.0
200306,49.3,1.1
200307,55.5,1.5
200308,56.4,4.6
200309,47.0,3.1
200310,35.4,1.1
200311,27.1,2.7
200312,14.3,4.4
200401,-2.0,-4.8
200402,7.1,3.3
200403,18.9,3.2
200404,29.1,0.9
200405,40.3,1.6
200406,46.0,-2.2
200407,54.7,0.7
200408,54.5,2.7
200409,44.4,0.5
200410,35.3,1.0
200411,25.2,0.8
200412,9.9,0.0
200501,1.0,-1.8
200502,8.5,4.7
200503,14.6,-1.1
200504,30.5,2.3
200505,38.4,-0.3
200506,51.5,3.3
200507,54.9,0.9
200508,54.1,2.3
200509,47.6,3.7
200510,39.7,5.4
200511,27.3,2.9
200512,13.6,3.7
200601,14.0,11.2
200602,10.5,6.7
200603,19.7,4.0
200604,31.0,2.8
200605,42.6,3.9
200606,53.8,5.6
200607,58.3,4.3
200608,50.8,-1.0
200609,45.1,1.2
200610,35.9,1.6
200611,31.8,7.4
200612,20.1,10.2
200701,7.9,5.1
200702,1.0,-2.8
200703,15.2,-0.5
200704,27.5,-0.7
200705,38.8,0.1
200706,49.3,1.1
200707,53.7,-0.3
200708,51.6,-0.2
200709,45.4,1.5
200710,39.9,5.6
200711,24.2,-0.2
200712,9.7,-0.2
200801,9.0,6.2
200802,8.6,4.8
200803,12.2,-3.5
200804,30.0,1.8
200805,37.8,-0.9
200806,51.5,3.3
200807,57.1,3.1
200808,53.6,1.8
200809,45.6,1.7
200810,34.7,0.4
200811,27.9,3.5
200812,10.3,0.4
200901,-3.2,-6.0
200902,8.4,4.6
200903,14.8,-0.9
200904,30.8,2.6
200905,39.2,0.5
200906,49.1,0.9
200907,54.3,0.3
200908,55.4,3.6
200909,42.5,-1.4
200910,33.7,-0.6
200911,29.7,5.3
200912,14.7,4.8
201001,12.4,9.6
201002,18.5,14.7
201003,24.7,9.0
201004,34.0,5.8
201005,41.7,3.0
201006,50.1,1.9
201007,58.9,4.9
201008,53.4,1.6
201009,49.2,5.3
201010,36.5,2.2
201011,26.7,2.3
201012,16.3,6.4
201101,7.2,4.4
201102,5.5,1.7
201103,16.6,0.9
201104,28.9,0.7
201105,42.6,3.9
201106,49.5,1.3
201107,56.0,2.0
201108,55.0,3.2
201109,48.6,4.7
201110,39.7,5.4
201111,29.0,4.6
201112,17.0,7.1
201201,8.9,6.1
201202,11.3,7.5
201203,23.5,7.8
201204,31.1,2.9
201205,43.4,4.7
201206,49.8,1.6
201207,56.0,2.0
201208,56.6,4.8
201209,44.5,0.6
201210,39.3,5.0
201211,24.5,0.1
201212,16.6,6.7
201301,5.7,2.9
201302,11.3,7.5
201303,22.5,6.8
201304,28.2,0.0
201305,40.2,1.5
201306,50.3,2.1
201307,57.7,3.7
201308,52.7,0.9
201309,46.6,2.7
201310,37.0,2.7
201311,24.0,-0.4
201312,9.3,-0.6
201401,4.9,2.1
201402,4.9,1.1
