Massachusetts, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,17.7,2.7
198002,13.0,-2.4
198003,24.1,-0.5
198004,36.4,2.4
198005,44.8,0.7
198006,50.4,-2.6
198007,60.0,1.3
198008,59.8,3.1
198009,49.7,0.3
198010,37.1,-1.9
198011,27.6,-2.7
198012,12.7,-6.9
198101,5.6,-9.4
198102,22.3,6.9
198103,26.0,1.4
198104,37.0,3.0
198105,45.1,1.0
198106,54.6,1.6
198107,60.0,1.3
198108,55.8,-0.9
198109,49.2,-0.2
198110,36.3,-2.7
198111,31.0,0.7
198112,21.0,1.4
198201,6.3,-8.7
198202,17.0,1.6
198203,23.1,-1.5
198204,31.4,-2.6
198205,45.2,1.1
198206,51.5,-1.5
198207,58.0,-0.7
198208,54.6,-2.1
198209,50.2,0.8
198210,37.4,-1.6
198211,34.4,4.1
198212,26.1,6.5
198301,17.6,2.6
198302,18.7,3.3
198303,29.6,5.0
198304,36.4,2.4
198305,44.5,0.4
198306,53.8,0.8
198307,59.1,0.4
198308,58.4,1.7
198309,50.9,1.5
198310,40.0,1.0
198311,32.5,2.2
198312,18.8,-0.8
198401,12.0,-3.0
198402,24.4,9.0
198403,21.0,-3.6
198404,35.0,1.0
198405,43.1,-1.0
198406,54.8,1.8
198407,59.2,0.5
198408,60.3,3.6
198409,46.0,-3.4
198410,41.6,2.6
198411,30.1,-0.2
198412,25.6,6.0
198501,11.0,-4.0
198502,18.0,2.6
198503,25.6,1.0
198504,35.6,1.6
198505,45.0,0.9
198506,51.0,-2.0
198507,58.1,-0.6
198508,57.2,0.5
198509,50.6,1.2
198510,39.4,0.4
198511,34.0,3.7
198512,17.3,-2.3
198601,16.6,1.6
198602,16.5,1.1
198603,25.7,1.1
198604,36.9,2.9
198605,46.0,1.9
198606,51.1,-1.9
198607,58.5,-0.2
198608,56.0,-0.7
198609,48.0,-1.4
198610,38.2,-0.8
198611,27.2,-3.1
198612,23.6,4.0
198701,14.0,-1.0
198702,13.8,-1.6
198703,26.0,1.4
198704,36.7,2.7
198705,44.4,0.3
198706,54.7,1.7
198707,59.8,1.1
198708,54.8,-1.9
198709,50.8,1.4
198710,35.7,-3.3
198711,29.2,-1.1
198712,23.7,4.1
198801,11.2,-3.8
198802,16.7,1.3
198803,24.7,0.1
198804,35.5,1.5
198805,45.7,1.6
198806,51.5,-1.5
198807,61.4,2.7
198808,61.2,4.5
198809,47.1,-2.3
198810,35.7,-3.3
198811,31.3,1.0
198812,17.9,-1.7
198901,19.5,4.5
198902,16.8,1.4
198903,23.6,-1.0
198904,32.1,-1.9
198905,46.5,2.4
198906,55.8,2.8
198907,58.8,0.1
198908,58.1,1.4
198909,50.4,1.0
198910,39.2,0.2
198911,29.8,-0.5
198912,6.2,-13.4
199001,24.4,9.4
199002,19.4,4.0
199003,25.4,0.8
199004,35.4,1.4
199005,43.1,-1.0
199006,53.9,0.9
199007,60.4,1.7
199008,60.3,3.6
199009,49.3,-0.1
199010,44.1,5.1
199011,32.4,2.1
199012,25.9,6.3
199101,15.3,0.3
199102,21.8,6.4
199103,29.0,4.4
199104,37.0,3.0
199105,48.4,4.3
199106,54.2,1.2
199107,58.5,-0.2
199108,59.5,2.8
199109,48.1,-1.3
199110,41.3,2.3
199111,33.2,2.9
199112,21.8,2.2
199201,17.2,2.2
199202,19.2,3.8
199203,22.8,-1.8
199204,32.7,-1.3
199205,42.1,-2.0
199206,52.0,-1.0
199207,56.2,-2.5
199208,56.3,-0.4
199209,49.6,0.2
199210,36.2,-2.8
199211,30.7,0.4
199212,21.8,2.2
199301,19.6,4.6
199302,10.5,-4.9
199303,22.2,-2.4
199304,35.5,1.5
199305,45.7,1.6
199306,53.0,0.0
199307,58.9,0.2
199308,58.6,1.9
199309,51.4,2.0
199310,37.0,-2.0
199311,29.6,-0.7
199312,21.3,1.7
199401,6.5,-8.5
199402,12.0,-3.4
199403,24.9,0.3
199404,35.7,1.7
199405,43.0,-1.1
199406,56.8,3.8
199407,63.5,4.8
199408,56.9,0.2
199409,50.0,0.6
199410,38.2,-0.8
199411,33.8,3.5
199412,24.9,5.3
199501,24.3,9.3
199502,14.3,-1.1
199503,28.5,3.9
199504,32.3,-1.7
199505,43.6,-0.5
199506,53.8,0.8
199507,61.9,3.2
199508,56.7,0.0
199509,47.3,-2.1
199510,41.9,2.9
199511,28.6,-1.7
199512,17.4,-2.2
199601,15.3,0.3
199602,17.3,1.9
199603,21.2,-3.4
199604,35.2,1.2
199605,43.3,-0.8
199606,55.7,2.7
199607,59.0,0.3
199608,58.6,1.9
199609,51.9,2.5
199610,38.7,-0.3
199611,27.5,-2.8
199612,28.0,8.4
199701,16.8,1.8
199702,23.8,8.4
199703,24.8,0.2
199704,32.7,-1.3
199705,42.5,-1.6
199706,53.2,0.2
199707,58.0,-0.7
199708,57.1,0.4
199709,49.8,0.4
199710,37.2,-1.8
199711,29.6,-0.7
199712,22.6,3.0
199801,23.8,8.8
199802,25.3,9.9
199803,28.6,4.0
199804,35.9,1.9
199805,48.3,4.2
199806,55.4,2.4
199807,59.6,0.9
199808,59.4,2.7
199809,51.4,2.0
199810,41.2,2.2
199811,31.4,1.1
199812,26.0,6.4
199901,15.8,0.8
199902,21.2,5.8
199903,26.9,2.3
199904,34.8,0.8
199905,45.5,1.4
199906,55.7,2.7
199907,61.6,2.9
199908,57.8,1.1
199909,53.9,4.5
199910,37.4,-1.6
199911,35.1,4.8
199912,24.3,4.7
200001,13.6,-1.4
200002,20.8,5.4
200003,29.9,5.3
200004,35.9,1.9
200005,45.2,1.1
200006,54.5,1.5
200007,57.0,-1.7
200008,57.3,0.6
200009,49.3,-0.1
200010,39.3,0.3
200011,32.4,2.1
200012,16.0,-3.6
200101,14.8,-0.2
200102,18.2,2.8
200103,24.8,0.2
200104,34.1,0.1
200105,45.6,1.5
200106,56.3,3.3
200107,55.7,-3.0
200108,61.0,4.3
200109,50.4,1.0
200110,39.6,0.6
200111,33.8,3.5
200112,27.2,7.6
200201,24.1,9.1
200202,22.0,6.6
200203,27.2,2.6
200204,37.3,3.3
200205,43.3,-0.8
200206,52.8,-0.2
200207,60.0,1.3
200208,59.9,3.2
200209,53.5,4.1
200210,38.7,-0.3
200211,31.0,0.7
200212,19.9,0.3
200301,10.2,-4.8
200302,13.7,-1.7
200303,22.7,-1.9
200304,32.9,-1.1
200305,44.1,0.0
200306,54.6,1.6
200307,60.6,1.9
200308,62.2,5.5
200309,52.7,3.3
200310,38.3,-0.7
200311,34.0,3.7
200312,22.8,3.2
200401,9.4,-5.6
200402,17.5,2.1
200403,27.7,3.1
200404,36.3,2.3
200405,47.2,3.1
200406,52.7,-0.3
200407,59.8,1.1
200408,59.4,2.7
200409,51.8,2.4
200410,40.8,1.8
200411,30.7,0.4
200412,21.2,1.6
200501,14.1,-0.9
200502,17.9,2.5
200503,21.3,-3.3
200504,35.6,1.6
200505,41.9,-2.2
200506,57.2,4.2
200507,61.3,2.6
200508,61.6,4.9
