Arizona, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,34.4,6.1
198002,36.0,4.2
198003,35.6,-0.2
198004,41.1,-0.7
198005,46.6,-2.6
198006,57.0,-0.9
198007,66.3,0.7
198008,63.7,-0.6
198009,57.1,-0.5
198010,45.3,-1.0
198011,35.2,-0.1
198012,33.3,4.3
198101,33.3,5.0
198102,32.6,0.8
198103,36.5,0.7
198104,45.4,3.6
198105,50.7,1.5
198106,62.7,4.8
198107,67.4,1.8
198108,65.3,1.0
198109,58.9,1.3
198110,45.7,-0.6
198111,37.5,2.2
198112,31.4,2.4
198201,29.3,1.0
198202,33.8,2.0
198203,37.2,1.4
198204,42.0,0.2
198205,49.1,-0.1
198206,55.2,-2.7
198207,64.3,-1.3
198208,65.8,1.5
198209,58.8,1.2
198210,42.4,-3.9
198211,37.2,1.9
198212,30.1,1.1
198301,30.2,1.9
198302,33.8,2.0
198303,37.8,2.0
198304,37.9,-3.9
198305,47.7,-1.5
198306,55.7,-2.2
198307,65.0,-0.6
198308,64.3,0.0
198309,61.6,4.0
198310,49.1,2.8
198311,36.9,1.6
198312,33.1,4.1
198401,29.6,1.3
198402,28.6,-3.2
198403,35.4,-0.4
198404,40.2,-1.6
198405,53.8,4.6
198406,58.8,0.9
198407,65.9,0.3
198408,64.3,0.0
198409,59.8,2.2
198410,44.1,-2.2
198411,35.1,-0.2
198412,31.7,2.7
198501,29.7,1.4
198502,29.7,-2.1
198503,36.7,0.9
198504,44.6,2.8
198505,51.2,2.0
198506,59.8,1.9
198507,66.3,0.7
198508,64.0,-0.3
198509,53.5,-4.1
198510,47.5,1.2
198511,35.8,0.5
198512,29.6,0.6
198601,32.8,4.5
198602,35.3,3.5
198603,40.4,4.6
198604,43.8,2.0
198605,50.3,1.1
198606,60.8,2.9
198607,64.0,-1.6
198608,66.3,2.0
198609,54.3,-3.3
198610,44.7,-1.6
198611,37.4,2.1
198612,30.7,1.7
198701,27.1,-1.2
198702,32.4,0.6
198703,34.1,-1.7
198704,44.9,3.1
198705,50.7,1.5
198706,59.7,1.8
198707,62.1,-3.5
198708,63.5,-0.8
198709,56.3,-1.3
198710,50.6,4.3
198711,36.0,0.7
198712,27.3,-1.7
198801,28.4,0.1
198802,33.5,1.7
198803,34.7,-1.1
198804,42.5,0.7
