Mississippi, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,37.7,3.3
198002,32.2,-4.9
198003,41.5,-2.3
198004,48.6,-2.9
198005,60.5,1.0
198006,67.0,0.2
198007,72.3,2.5
198008,70.0,1.1
198009,66.8,3.5
198010,47.0,-4.2
198011,40.4,-1.1
198012,32.9,-3.1
198101,28.1,-6.3
198102,35.8,-1.3
198103,40.2,-3.6
198104,56.8,5.3
198105,56.9,-2.6
198106,69.9,3.1
198107,71.2,1.4
198108,68.9,0.0
198109,59.0,-4.3
198110,51.2,0.0
198111,42.6,1.1
198112,33.2,-2.8
198201,32.5,-1.9
198202,35.8,-1.3
198203,47.9,4.1
198204,50.1,-1.4
198205,60.6,1.1
198206,66.1,-0.7
198207,70.2,0.4
198208,69.9,1.0
198209,60.8,-2.5
198210,51.1,-0.1
198211,43.9,2.4
198212,43.0,7.0
198301,33.1,-1.3
198302,37.5,0.4
198303,41.4,-2.4
198304,46.9,-4.6
198305,58.2,-1.3
198306,65.5,-1.3
198307,70.2,0.4
198308,70.8,1.9
198309,60.8,-2.5
198310,52.0,0.8
198311,42.2,0.7
198312,31.1,-4.9
198401,28.0,-6.4
198402,36.5,-0.6
198403,42.7,-1.1
198404,50.9,-0.6
198405,57.5,-2.0
198406,65.5,-1.3
198407,68.1,-1.7
198408,68.2,-0.7
198409,60.8,-2.5
198410,58.8,7.6
198411,40.6,-0.9
198412,45.9,9.9
198501,26.3,-8.1
198502,34.4,-2.7
198503,48.5,4.7
198504,52.5,1.0
198505,59.7,0.2
198506,66.9,0.1
198507,69.0,-0.8
198508,69.2,0.3
198509,61.9,-1.4
198510,57.8,6.6
198511,51.3,9.8
198512,29.8,-6.2
198601,30.6,-3.8
198602,41.0,3.9
198603,41.5,-2.3
198604,50.1,-1.4
198605,61.5,2.0
198606,69.0,2.2
198607,71.6,1.8
198608,67.4,-1.5
198609,66.6,3.3
198610,53.3,2.1
198611,48.6,7.1
198612,37.2,1.2
198701,32.6,-1.8
198702,40.2,3.1
198703,42.8,-1.0
198704,46.7,-4.8
198705,63.7,4.2
198706,67.2,0.4
198707,69.6,-0.2
198708,71.3,2.4
198709,61.4,-1.9
198710,42.4,-8.8
198711,42.5,1.0
198712,39.4,3.4
198801,29.9,-4.5
198802,34.1,-3.0
198803,41.6,-2.2
198804,50.8,-0.7
198805,55.0,-4.5
198806,63.9,-2.9
198807,70.0,0.2
198808,70.3,1.4
198809,65.8,2.5
198810,48.4,-2.8
198811,45.2,3.7
198812,35.1,-0.9
198901,39.9,5.5
198902,37.2,0.1
198903,46.0,2.2
198904,48.9,-2.6
198905,59.2,-0.3
198906,67.2,0.4
198907,70.0,0.2
198908,68.1,-0.8
198909,63.0,-0.3
198910,49.5,-1.7
198911,43.2,1.7
198912,26.9,-9.1
199001,39.6,5.2
199002,44.4,7.3
199003,46.8,3.0
199004,49.7,-1.8
199005,59.1,-0.4
199006,67.7,0.9
199007,69.3,-0.5
199008,68.0,-0.9
199009,64.1,0.8
199010,48.1,-3.1
199011,42.6,1.1
199012,38.9,2.9
199101,36.3,1.9
199102,39.3,2.2
199103,45.6,1.8
199104,56.4,4.9
199105,65.4,5.9
199106,68.6,1.8
199107,70.9,1.1
199108,68.5,-0.4
199109,63.0,-0.3
199110,52.0,0.8
199111,38.7,-2.8
199112,40.6,4.6
199201,34.3,-0.1
199202,40.4,3.3
199203,43.8,0.0
199204,50.4,-1.1
199205,57.0,-2.5
199206,65.6,-1.2
199207,70.8,1.0
199208,66.0,-2.9
199209,63.7,0.4
199210,49.7,-1.5
199211,41.4,-0.1
199212,39.4,3.4
199301,38.8,4.4
199302,35.3,-1.8
199303,41.8,-2.0
199304,47.5,-4.0
199305,58.5,-1.0
199306,68.0,1.2
199307,71.9,2.1
199308,70.8,1.9
199309,62.4,-0.9
199310,51.1,-0.1
199311,39.8,-1.7
199312,35.6,-0.4
199401,31.8,-2.6
199402,38.1,1.0
199403,42.9,-0.9
199404,53.0,1.5
199405,58.0,-1.5
199406,69.3,2.5
199407,69.2,-0.6
199408,67.3,-1.6
199409,60.9,-2.4
199410,54.9,3.7
199411,47.7,6.2
199412,40.4,4.4
199501,36.1,1.7
199502,36.8,-0.3
199503,47.4,3.6
199504,51.6,0.1
199505,62.0,2.5
199506,64.5,-2.3
199507,70.5,0.7
199508,72.0,3.1
199509,61.0,-2.3
199510,50.5,-0.7
199511,38.0,-3.5
199512,35.7,-0.3
199601,32.7,-1.7
199602,37.0,-0.1
199603,39.0,-4.8
199604,47.8,-3.7
199605,63.1,3.6
199606,67.2,0.4
199607,70.0,0.2
199608,68.2,-0.7
199609,61.8,-1.5
199610,51.8,0.6
199611,43.3,1.8
199612,39.0,3.0
199701,35.3,0.9
199702,41.5,4.4
199703,48.3,4.5
199704,47.4,-4.1
199705,57.3,-2.2
199706,67.0,0.2
199707,71.0,1.2
199708,68.0,-0.9
199709,63.2,-0.1
199710,50.9,-0.3
199711,40.2,-1.3
199712,35.2,-0.8
199801,39.3,4.9
199802,39.7,2.6
199803,44.1,0.3
199804,50.5,-1.0
199805,62.3,2.8
199806,70.9,4.1
199807,72.9,3.1
199808,70.3,1.4
199809,68.0,4.7
199810,54.4,3.2
199811,46.7,5.2
199812,40.9,4.9
199901,38.5,4.1
199902,41.4,4.3
199903,41.6,-2.2
199904,56.5,5.0
199905,58.6,-0.9
199906,68.4,1.6
199907,71.4,1.6
199908,69.7,0.8
199909,59.9,-3.4
199910,50.2,-1.0
199911,42.7,1.2
199912,35.8,-0.2
200001,36.7,2.3
200002,39.8,2.7
200003,47.3,3.5
200004,49.1,-2.4
200005,63.2,3.7
200006,66.9,0.1
200007,69.5,-0.3
200008,69.8,0.9
200009,63.1,-0.2
200010,50.3,-0.9
200011,41.6,0.1
200012,27.9,-8.1
200101,30.6,-3.8
200102,41.3,4.2
200103,41.3,-2.5
200104,55.3,3.8
200105,59.2,-0.3
200106,66.2,-0.6
200107,70.8,1.0
200108,69.9,1.0
200109,62.3,-1.0
200110,47.2,-4.0
200111,44.0,2.5
200112,39.6,3.6
200201,36.5,2.1
200202,33.9,-3.2
200203,42.7,-1.1
200204,55.6,4.1
200205,59.2,-0.3
200206,66.8,0.0
200207,70.8,1.0
200208,69.7,0.8
200209,67.6,4.3
200210,58.7,7.5
200211,40.5,-1.0
200212,35.8,-0.2
200301,29.2,-5.2
200302,37.1,0.0
200303,45.3,1.5
200304,51.9,0.4
200305,62.8,3.3
