Nebraska, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,12.3,1.7
198002,14.0,-0.8
198003,21.8,-1.7
198004,34.9,0.4
198005,45.4,0.0
198006,57.4,2.1
198007,63.2,2.3
198008,60.0,1.1
198009,49.2,0.5
198010,34.3,-2.3
198011,26.0,2.4
198012,18.3,4.1
198101,15.6,5.0
198102,15.8,1.0
198103,26.3,2.8
198104,41.4,6.9
198105,44.0,-1.4
198106,56.2,0.9
198107,62.4,1.5
198108,58.5,-0.4
198109,48.8,0.1
198110,37.0,0.4
198111,28.2,4.6
198112,16.2,2.0
198201,3.0,-7.6
198202,13.0,-1.8
198203,24.2,0.7
198204,31.2,-3.3
198205,47.1,1.7
198206,51.7,-3.6
198207,61.7,0.8
198208,60.8,1.9
198209,49.3,0.6
198210,36.7,0.1
198211,22.1,-1.5
198212,17.4,3.2
198301,19.0,8.4
198302,22.4,7.6
198303,27.2,3.7
198304,31.4,-3.1
198305,41.6,-3.8
198306,54.9,-0.4
198307,62.6,1.7
198308,64.9,6.0
198309,49.5,0.8
198310,39.2,2.6
198311,26.8,3.2
198312,-1.0,-15.2
198401,13.2,2.6
198402,22.3,7.5
198403,23.3,-0.2
198404,33.9,-0.6
198405,45.1,-0.3
198406,56.2,0.9
198407,60.8,-0.1
198408,60.9,2.0
198409,45.3,-3.4
198410,37.4,0.8
198411,25.0,1.4
198412,13.0,-1.2
198501,8.4,-2.2
198502,11.7,-3.1
198503,26.7,3.2
198504,38.2,3.7
198505,48.4,3.0
198506,51.9,-3.4
198507,60.8,-0.1
198508,57.0,-1.9
198509,49.1,0.4
198510,36.4,-0.2
198511,15.8,-7.8
198512,8.5,-5.7
198601,19.4,8.8
198602,16.0,1.2
198603,30.9,7.4
198604,36.1,1.6
198605,46.1,0.7
198606,58.8,3.5
198607,62.1,1.2
198608,57.2,-1.7
198609,51.4,2.7
198610,38.6,2.0
198611,21.8,-1.8
198612,18.0,3.8
198701,16.9,6.3
198702,24.0,9.2
198703,25.6,2.1
198704,36.4,1.9
198705,51.0,5.6
198706,57.1,1.8
198707,61.9,1.0
198708,57.6,-1.3
198709,47.0,-1.7
198710,31.9,-4.7
198711,29.1,5.5
198712,18.3,4.1
198801,6.0,-4.6
198802,13.4,-1.4
