Nevada, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,24.6,5.6
198002,28.9,5.9
198003,26.0,-1.5
198004,33.9,0.8
198005,40.2,-0.6
198006,46.4,-2.0
198007,56.8,0.9
198008,52.7,-1.3
198009,46.8,1.0
198010,36.2,0.0
198011,28.1,1.6
198012,23.8,3.7
198101,24.0,5.0
198102,23.9,0.9
198103,28.4,0.9
198104,36.1,3.0
198105,42.0,1.2
198106,52.2,3.8
198107,55.9,0.0
198108,55.2,1.2
198109,49.2,3.4
198110,34.8,-1.4
198111,31.0,4.5
198112,26.2,6.1
198201,17.4,-1.6
198202,23.2,0.2
198203,27.9,0.4
198204,30.3,-2.8
198205,40.2,-0.6
198206,48.1,-0.3
198207,55.7,-0.2
198208,56.0,2.0
198209,47.4,1.6
198210,35.7,-0.5
198211,25.7,-0.8
198212,21.9,1.8
198301,24.0,5.0
198302,27.0,4.0
198303,31.6,4.1
198304,30.7,-2.4
198305,39.4,-1.4
198306,48.1,-0.3
198307,52.6,-3.3
198308,56.6,2.6
198309,49.0,3.2
198310,39.1,2.9
198311,29.4,2.9
198312,25.3,5.2
198401,19.1,0.1
198402,21.0,-2.0
198403,28.2,0.7
198404,31.6,-1.5
198405,43.6,2.8
198406,47.5,-0.9
198407,58.4,2.5
198408,56.8,2.8
198409,47.8,2.0
198410,34.0,-2.2
198411,28.1,1.6
198412,17.3,-2.8
198501,16.0,-3.0
198502,18.6,-4.4
198503,25.2,-2.3
198504,35.6,2.5
198505,41.6,0.8
198506,51.9,3.5
198507,59.0,3.1
198508,51.8,-2.2
198509,42.9,-2.9
198510,35.4,-0.8
198511,23.4,-3.1
198512,20.0,-0.1
198601,27.3,8.3
198602,29.4,6.4
198603,33.6,6.1
198604,34.4,1.3
198605,41.4,0.6
198606,52.3,3.9
198607,54.3,-1.6
198608,57.5,3.5
198609,42.6,-3.2
198610,35.6,-0.6
198611,27.3,0.8
198612,20.0,-0.1
198701,16.8,-2.2
198702,24.0,1.0
198703,28.5,1.0
198704,36.6,3.5
198705,44.4,3.6
198706,51.9,3.5
198707,53.6,-2.3
198708,54.9,0.9
198709,47.5,1.7
198710,40.5,4.3
198711,29.6,3.1
198712,19.7,-0.4
198801,17.5,-1.5
198802,23.1,0.1
198803,27.2,-0.3
198804,35.2,2.1
198805,40.1,-0.7
198806,51.4,3.0
198807,58.6,2.7
198808,55.2,1.2
198809,45.4,-0.4
198810,41.8,5.6
198811,28.8,2.3
198812,18.0,-2.1
198901,13.6,-5.4
198902,17.9,-5.1
198903,32.5,5.0
198904,38.0,4.9
198905,41.5,0.7
198906,49.8,1.4
198907,57.4,1.5
198908,52.8,-1.2
198909,46.3,0.5
198910,35.9,-0.3
198911,26.1,-0.4
198912,20.3,0.2
199001,20.6,1.6
199002,19.3,-3.7
199003,30.2,2.7
199004,38.5,5.4
199005,40.3,-0.5
199006,49.9,1.5
199007,57.9,2.0
199008,54.7,0.7
199009,50.4,4.6
199010,36.5,0.3
