New Hampshire, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,10.0,3.3
198002,5.9,-1.4
198003,18.3,-0.1
198004,31.3,1.8
198005,39.9,-0.1
198006,46.6,-2.6
198007,55.8,1.3
198008,55.0,2.7
198009,44.4,-0.4
198010,33.3,-1.1
198011,23.1,-2.1
198012,4.0,-8.5
198101,-1.5,-8.2
198102,18.0,10.7
198103,21.8,3.4
198104,32.2,2.7
198105,41.7,1.7
198106,50.3,1.1
198107,55.7,1.2
198108,51.9,-0.4
198109,45.9,1.1
198110,32.0,-2.4
198111,26.7,1.5
198112,16.6,4.1
198201,-3.0,-9.7
198202,7.2,-0.1
198203,16.6,-1.8
198204,26.7,-2.8
198205,41.1,1.1
198206,48.2,-1.0
198207,53.1,-1.4
198208,50.0,-2.3
198209,46.4,1.6
198210,32.8,-1.6
198211,29.4,4.2
198212,19.2,6.7
198301,10.2,3.5
198302,11.9,4.6
198303,24.4,6.0
198304,32.5,3.0
198305,40.8,0.8
198306,49.8,0.6
198307,54.6,0.1
198308,53.9,1.6
198309,46.2,1.4
198310,35.0,0.6
198311,28.3,3.1
198312,11.9,-0.6
198401,4.1,-2.6
198402,18.6,11.3
198403,14.0,-4.4
198404,31.6,2.1
198405,39.3,-0.7
198406,50.6,1.4
198407,55.3,0.8
198408,56.2,3.9
198409,41.3,-3.5
198410,35.8,1.4
198411,25.1,-0.1
198412,18.4,5.9
198501,3.5,-3.2
198502,11.8,4.5
198503,19.0,0.6
198504,30.2,0.7
198505,40.3,0.3
198506,48.1,-1.1
198507,53.5,-1.0
198508,51.8,-0.5
198509,45.7,0.9
198510,34.9,0.5
198511,28.1,2.9
198512,9.2,-3.3
198601,8.5,1.8
198602,7.5,0.2
198603,20.1,1.7
198604,33.2,3.7
198605,42.9,2.9
198606,46.7,-2.5
198607,54.4,-0.1
198608,52.6,0.3
198609,43.3,-1.5
198610,34.0,-0.4
198611,22.6,-2.6
198612,17.1,4.6
