Arkansas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,31.5,2.4
198002,27.1,-5.3
198003,35.6,-4.3
198004,45.8,-3.1
198005,57.7,0.3
198006,66.9,1.5
198007,71.0,2.1
198008,70.2,2.5
198009,64.4,3.5
198010,45.2,-3.8
198011,37.4,-1.1
198012,31.1,-0.4
198101,26.2,-2.9
198102,32.0,-0.4
198103,38.6,-1.3
198104,54.7,5.8
198105,54.4,-3.0
198106,67.9,2.5
198107,71.0,2.1
198108,66.6,-1.1
198109,58.0,-2.9
198110,49.0,0.0
198111,40.0,1.5
198112,28.9,-2.6
198201,23.9,-5.2
198202,30.1,-2.3
198203,44.0,4.1
198204,45.7,-3.2
198205,59.7,2.3
198206,63.1,-2.3
198207,69.5,0.6
198208,69.0,1.3
198209,58.6,-2.3
198210,47.6,-1.4
198211,40.4,1.9
198212,38.0,6.5
198301,29.5,0.4
198302,34.1,1.7
198303,39.1,-0.8
198304,44.1,-4.8
198305,55.2,-2.2
198306,62.9,-2.5
198307,69.5,0.6
198308,70.0,2.3
198309,59.5,-1.4
198310,50.7,1.7
198311,40.5,2.0
198312,22.3,-9.2
198401,23.3,-5.8
198402,33.4,1.0
198403,38.6,-1.3
198404,47.7,-1.2
198405,55.1,-2.3
198406,66.0,0.6
198407,66.5,-2.4
198408,66.4,-1.3
198409,58.9,-2.0
198410,54.5,5.5
198411,37.4,-1.1
198412,40.6,9.1
198501,22.3,-6.8
198502,28.3,-4.1
198503,44.6,4.7
198504,50.9,2.0
198505,57.3,-0.1
198506,64.5,-0.9
198507,67.7,-1.2
198508,67.5,-0.2
198509,59.9,-1.0
198510,53.5,4.5
198511,45.1,6.6
198512,25.6,-5.9
198601,27.8,-1.3
198602,36.3,3.9
198603,40.1,0.2
198604,50.9,2.0
198605,59.0,1.6
198606,67.5,2.1
198607,71.4,2.5
198608,64.9,-2.8
198609,64.7,3.8
198610,50.7,1.7
198611,40.4,1.9
198612,32.7,1.2
198701,28.9,-0.2
198702,36.1,3.7
198703,39.5,-0.4
198704,45.2,-3.7
198705,61.9,4.5
198706,65.6,0.2
198707,68.9,0.0
198708,70.4,2.7
198709,59.2,-1.7
198710,43.3,-5.7
198711,40.9,2.4
198712,33.8,2.3
198801,25.2,-3.9
198802,30.0,-2.4
198803,38.2,-1.7
198804,46.5,-2.4
198805,54.2,-3.2
198806,62.3,-3.1
198807,69.0,0.1
198808,69.2,1.5
198809,61.6,0.7
198810,46.1,-2.9
198811,39.4,0.9
198812,31.3,-0.2
198901,34.0,4.9
198902,28.5,-3.9
198903,39.6,-0.3
198904,48.4,-0.5
198905,56.9,-0.5
198906,64.5,-0.9
198907,68.3,-0.6
198908,67.0,-0.7
198909,59.0,-1.9
198910,48.8,-0.2
198911,39.8,1.3
198912,21.3,-10.2
199001,34.8,5.7
199002,38.0,5.6
199003,43.8,3.9
199004,48.2,-0.7
199005,56.0,-1.4
199006,66.9,1.5
199007,68.2,-0.7
199008,67.4,-0.3
199009,63.6,2.7
199010,45.9,-3.1
199011,42.1,3.6
199012,31.0,-0.5
199101,29.7,0.6
199102,34.2,1.8
199103,42.4,2.5
199104,52.7,3.8
199105,63.0,5.6
199106,67.7,2.3
199107,69.3,0.4
199108,66.7,-1.0
199109,61.2,0.3
199110,50.1,1.1
199111,36.6,-1.9
199112,36.8,5.3
199201,31.2,2.1
199202,37.4,5.0
199203,40.9,1.0
199204,48.3,-0.6
199205,55.5,-1.9
199206,64.1,-1.3
199207,69.6,0.7
199208,63.5,-4.2
199209,59.3,-1.6
