North Carolina, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,31.7,2.2
198002,24.8,-6.0
198003,35.4,-2.1
198004,45.7,0.3
198005,54.2,-0.1
198006,60.4,-1.9
198007,66.8,0.4
198008,66.1,0.9
198009,63.0,3.6
198010,45.4,-1.9
198011,35.5,-1.9
198012,28.9,-1.9
198101,22.0,-7.5
198102,29.8,-1.0
198103,32.6,-4.9
198104,48.1,2.7
198105,51.2,-3.1
198106,66.2,3.9
198107,67.3,0.9
198108,63.7,-1.5
198109,55.3,-4.1
198110,43.7,-3.6
198111,36.6,-0.8
198112,28.5,-2.3
198201,24.2,-5.3
198202,34.0,3.2
198203,38.8,1.3
198204,43.4,-2.0
198205,56.0,1.7
198206,62.8,0.5
198207,67.1,0.7
198208,64.3,-0.9
198209,57.3,-2.1
198210,47.2,-0.1
198211,40.6,3.2
198212,37.4,6.6
198301,29.2,-0.3
198302,30.6,-0.2
198303,39.4,1.9
198304,42.6,-2.8
198305,52.8,-1.5
198306,60.4,-1.9
198307,66.0,-0.4
198308,66.1,0.9
198309,58.2,-1.2
198310,48.9,1.6
198311,37.5,0.1
198312,29.0,-1.8
198401,26.1,-3.4
198402,33.3,2.5
198403,35.4,-2.1
198404,44.4,-1.0
198405,52.8,-1.5
198406,62.9,0.6
198407,65.5,-0.9
198408,65.7,0.5
198409,55.5,-3.9
198410,54.9,7.6
198411,34.6,-2.8
198412,37.6,6.8
198501,24.1,-5.4
198502,31.2,0.4
198503,38.7,1.2
198504,46.8,1.4
198505,55.0,0.7
198506,61.9,-0.4
198507,66.1,-0.3
198508,64.7,-0.5
198509,57.7,-1.7
198510,53.7,6.4
198511,49.4,12.0
198512,27.5,-3.3
198601,26.0,-3.5
198602,34.5,3.7
198603,36.7,-0.8
198604,45.6,0.2
198605,54.8,0.5
198606,64.4,2.1
198607,68.5,2.1
198608,65.2,0.0
198609,60.7,1.3
198610,50.6,3.3
198611,44.7,7.3
198612,32.4,1.6
198701,28.4,-1.1
198702,29.6,-1.2
198703,36.0,-1.5
198704,43.7,-1.7
198705,56.5,2.2
198706,64.2,1.9
198707,67.4,1.0
198708,67.6,2.4
198709,60.9,1.5
198710,39.6,-7.7
198711,39.1,1.7
198712,33.4,2.6
198801,24.7,-4.8
198802,29.4,-1.4
198803,36.4,-1.1
198804,44.1,-1.3
198805,51.9,-2.4
198806,58.8,-3.5
198807,66.1,-0.3
198808,68.1,2.9
198809,59.2,-0.2
198810,41.2,-6.1
198811,38.4,1.0
198812,28.5,-2.3
198901,33.2,3.7
198902,32.9,2.1
198903,39.4,1.9
198904,44.6,-0.8
198905,51.4,-2.9
198906,65.1,2.8
198907,67.1,0.7
198908,65.9,0.7
198909,61.0,1.6
198910,47.5,0.2
198911,39.3,1.9
198912,23.5,-7.3
199001,34.9,5.4
199002,37.5,6.7
199003,41.8,4.3
199004,44.7,-0.7
199005,54.9,0.6
199006,61.8,-0.5
199007,67.2,0.8
199008,66.5,1.3
199009,58.4,-1.0
199010,49.9,2.6
199011,38.5,1.1
199012,37.0,6.2
199101,32.4,2.9
199102,33.9,3.1
199103,41.0,3.5
199104,49.2,3.8
199105,60.2,5.9
199106,63.4,1.1
199107,69.5,3.1
199108,66.7,1.5
199109,58.8,-0.6
199110,46.7,-0.6
199111,36.6,-0.8
199112,33.8,3.0
199201,31.5,2.0
199202,34.4,3.6
199203,36.5,-1.0
199204,44.7,-0.7
199205,51.0,-3.3
199206,60.9,-1.4
199207,68.4,2.0
199208,64.5,-0.7
199209,60.7,1.3
199210,44.3,-3.0
199211,41.2,3.8
199212,32.8,2.0
199301,34.4,4.9
199302,29.1,-1.7
199303,35.8,-1.7
199304,42.7,-2.7
199305,55.4,1.1
199306,62.8,0.5
199307,69.2,2.8
199308,65.7,0.5
199309,60.7,1.3
199310,47.0,-0.3
199311,38.7,1.3
199312,29.6,-1.2
199401,25.6,-3.9
199402,31.7,0.9
199403,38.8,1.3
199404,47.8,2.4
199405,50.5,-3.8
199406,65.3,3.0
199407,68.5,2.1
199408,64.4,-0.8
199409,56.9,-2.5
199410,46.4,-0.9
199411,41.6,4.2
199412,36.6,5.8
199501,31.4,1.9
199502,30.1,-0.7
199503,38.9,1.4
199504,46.1,0.7
199505,55.1,0.8
199506,62.8,0.5
199507,67.8,1.4
