Oklahoma, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,27.4,2.3
198002,25.3,-3.7
198003,33.4,-3.5
198004,43.4,-3.6
198005,55.7,-0.7
198006,68.5,3.2
198007,72.8,3.3
198008,71.7,3.3
198009,63.8,3.2
198010,45.0,-3.7
198011,35.4,-0.9
198012,29.7,1.9
198101,24.9,-0.2
198102,29.2,0.2
198103,38.6,1.7
198104,52.9,5.9
198105,54.1,-2.3
198106,67.3,2.0
198107,71.9,2.4
198108,66.7,-1.7
198109,60.2,-0.4
198110,50.1,1.4
198111,38.1,1.8
198112,28.0,0.2
198201,20.7,-4.4
198202,25.3,-3.7
198203,39.0,2.1
198204,44.2,-2.8
198205,57.4,1.0
198206,62.0,-3.3
198207,70.0,0.5
198208,70.2,1.8
198209,59.8,-0.8
198210,46.6,-2.1
198211,36.7,0.4
198212,31.2,3.4
198301,27.1,2.0
198302,31.7,2.7
198303,37.0,0.1
198304,41.7,-5.3
198305,52.3,-4.1
198306,61.3,-4.0
198307,69.4,-0.1
198308,71.1,2.7
198309,60.9,0.3
198310,51.3,2.6
198311,39.3,3.0
198312,16.3,-11.5
198401,20.9,-4.2
198402,30.4,1.4
198403,34.9,-2.0
198404,43.9,-3.1
198405,55.1,-1.3
198406,66.8,1.5
198407,67.7,-1.8
198408,68.1,-0.3
198409,58.3,-2.3
198410,49.9,1.2
198411,36.9,0.6
198412,33.0,5.2
198501,20.3,-4.8
198502,25.5,-3.5
198503,42.1,5.2
198504,49.7,2.7
198505,57.4,1.0
198506,64.0,-1.3
198507,68.3,-1.2
198508,68.3,-0.1
198509,61.2,0.6
198510,50.2,1.5
198511,36.3,0.0
198512,22.3,-5.5
198601,27.3,2.2
198602,32.0,3.0
198603,40.9,4.0
198604,50.1,3.1
198605,57.1,0.7
198606,66.8,1.5
198607,71.7,2.2
198608,67.0,-1.4
198609,64.2,3.6
198610,49.7,1.0
198611,34.2,-2.1
198612,30.0,2.2
198701,25.4,0.3
198702,34.7,5.7
198703,36.8,-0.1
198704,44.4,-2.6
198705,59.7,3.3
198706,65.0,-0.3
198707,68.7,-0.8
198708,69.2,0.8
198709,58.6,-2.0
198710,45.4,-3.3
198711,38.5,2.2
198712,28.8,1.0
198801,22.2,-2.9
198802,26.5,-2.5
198803,35.4,-1.5
198804,44.1,-2.9
198805,55.7,-0.7
198806,64.3,-1.0
198807,69.1,-0.4
198808,69.3,0.9
198809,59.6,-1.0
198810,46.7,-2.0
198811,37.2,0.9
198812,28.6,0.8
198901,29.2,4.1
198902,23.3,-5.7
198903,36.4,-0.5
198904,49.0,2.0
198905,57.0,0.6
198906,62.4,-2.9
198907,67.8,-1.7
198908,67.7,-0.7
198909,56.2,-4.4
198910,48.7,0.0
198911,35.6,-0.7
198912,17.8,-10.0
199001,30.1,5.0
199002,32.2,3.2
199003,40.5,3.6
199004,46.3,-0.7
199005,55.2,-1.2
199006,68.6,3.3
199007,67.9,-1.6
199008,68.0,-0.4
199009,62.8,2.2
199010,45.9,-2.8
199011,40.5,4.2
199012,24.1,-3.7
199101,24.0,-1.1
199102,32.2,3.2
199103,39.5,2.6
199104,48.9,1.9
199105,60.5,4.1
199106,66.7,1.4
199107,69.4,-0.1
199108,67.0,-1.4
199109,59.9,-0.7
199110,48.6,-0.1
199111,33.3,-3.0
199112,33.5,5.7
199201,29.6,4.5
199202,35.6,6.6
199203,40.0,3.1
199204,47.5,0.5
199205,54.9,-1.5
199206,62.6,-2.7
199207,68.8,-0.7
199208,63.4,-5.0
199209,59.5,-1.1
199210,47.6,-1.1
199211,35.8,-0.5
199212,29.3,1.5
199301,26.1,1.0
199302,28.0,-1.0
199303,36.4,-0.5
199304,44.1,-2.9
199305,55.6,-0.8
199306,65.8,0.5
199307,72.2,2.7
199308,69.7,1.3
199309,56.7,-3.9
199310,44.7,-4.0
199311,31.2,-5.1
199312,29.9,2.1
199401,24.8,-0.3
199402,25.0,-4.0
199403,38.1,1.2
199404,46.2,-0.8
199405,55.4,-1.0
199406,68.2,2.9
199407,67.5,-2.0
199408,66.5,-1.9
199409,58.3,-2.3
199410,50.6,1.9
199411,39.5,3.2
199412,32.0,4.2
199501,27.6,2.5
199502,31.8,2.8
199503,39.2,2.3
199504,44.7,-2.3
199505,54.4,-2.0
199506,62.1,-3.2
199507,68.8,-0.7
199508,70.0,1.6
199509,60.0,-0.6
199510,46.3,-2.4
199511,34.0,-2.3
199512,28.5,0.7
199601,22.2,-2.9
199602,28.0,-1.0
199603,31.4,-5.5
199604,43.6,-3.4
199605,61.5,5.1
199606,65.4,0.1
199607,69.5,0.0
199608,67.7,-0.7
199609,58.1,-2.5
199610,48.4,-0.3
199611,35.4,-0.9
199612,28.0,0.2
199701,25.2,0.1
199702,32.8,3.8
199703,38.0,1.1
199704,42.6,-4.4
199705,53.3,-3.1
199706,62.9,-2.4
199707,69.7,0.2
199708,67.0,-1.4
199709,61.9,1.3
199710,49.9,1.2
199711,35.2,-1.1
199712,29.6,1.8
199801,30.8,5.7
199802,34.5,5.5
199803,36.2,-0.7
199804,44.1,-2.9
199805,59.4,3.0
199806,67.1,1.8
199807,72.7,3.2
199808,69.4,1.0
199809,66.7,6.1
199810,52.4,3.7
199811,42.3,6.0
199812,29.8,2.0
199901,28.2,3.1
199902,36.2,7.2
199903,37.7,0.8
199904,48.3,1.3
199905,55.4,-1.0
199906,65.2,-0.1
199907,70.8,1.3
199908,69.2,0.8
199909,58.1,-2.5
199910,47.0,-1.7
199911,41.7,5.4
199912,30.3,2.5
200001,28.1,3.0
200002,34.3,5.3
200003,41.6,4.7
200004,45.8,-1.2
200005,58.3,1.9
200006,64.2,-1.1
200007,69.1,-0.4
200008,70.9,2.5
200009,59.6,-1.0
200010,53.1,4.4
200011,33.2,-3.1
200012,21.4,-6.4
200101,25.8,0.7
200102,30.3,1.3
200103,36.6,-0.3
200104,51.2,4.2
200105,57.2,0.8
200106,64.7,-0.6
200107,73.1,3.6
200108,70.1,1.7
200109,58.8,-1.8
200110,46.6,-2.1
200111,43.2,6.9
200112,30.6,2.8
200201,27.2,2.1
200202,28.6,-0.4
200203,33.2,-3.7
200204,50.1,3.1
200205,54.9,-1.5
200206,66.0,0.7
200207,69.6,0.1
200208,69.4,1.0
200209,61.1,0.5
200210,47.5,-1.2
200211,34.9,-1.4
200212,30.0,2.2
200301,25.2,0.1
200302,27.5,-1.5
200303,37.0,0.1
200304,47.1,0.1
200305,56.1,-0.3
200306,62.2,-3.1
200307,70.5,1.0
200308,70.0,1.6
200309,57.6,-3.0
200310,49.5,0.8
200311,39.8,3.5
200312,30.1,2.3
200401,27.5,2.4
200402,28.2,-0.8
200403,43.7,6.8
200404,48.1,1.1
200405,58.9,2.5
200406,64.4,-0.9
200407,67.2,-2.3
200408,64.7,-3.7
200409,60.3,-0.3
200410,52.2,3.5
200411,42.0,5.7
200412,28.7,0.9
200501,29.5,4.4
200502,35.0,6.0
200503,38.1,1.2
200504,46.8,-0.2
200505,56.1,-0.3
200506,65.4,0.1
200507,67.7,-1.8
200508,69.0,0.6
200509,63.3,2.7
200510,49.6,0.9
200511,38.1,1.8
200512,25.3,-2.5
200601,32.1,7.0
200602,27.4,-1.6
200603,41.0,4.1
200604,51.7,4.7
200605,58.1,1.7
200606,64.6,-0.7
200607,70.7,1.2
200608,71.9,3.5
200609,56.0,-4.6
200610,47.7,-1.0
200611,38.2,1.9
200612,30.5,2.7
200701,25.8,0.7
200702,28.0,-1.0
200703,46.9,10.0
200704,44.3,-2.7
200705,59.4,3.0
200706,65.3,0.0
200707,68.4,-1.1
200708,71.5,3.1
200709,62.8,2.2
200710,51.1,2.4
200711,37.7,1.4
200712,27.4,-0.4
200801,25.7,0.6
200802,28.4,-0.6
200803,37.5,0.6
200804,44.5,-2.5
200805,55.9,-0.5
200806,66.8,1.5
200807,69.7,0.2
200808,68.4,0.0
200809,58.5,-2.1
200810,46.9,-1.8
200811,36.9,0.6
200812,25.9,-1.9
200901,23.7,-1.4
200902,33.3,4.3
200903,39.8,2.9
200904,45.3,-1.7
200905,55.2,-1.2
200906,67.3,2.0
200907,68.2,-1.3
200908,67.0,-1.4
200909,59.6,-1.0
200910,45.0,-3.7
200911,41.5,5.2
200912,23.8,-4.0
201001,24.8,-0.3
201002,27.5,-1.5
201003,37.2,0.3
201004,49.4,2.4
201005,56.4,0.0
201006,70.0,4.7
201007,71.9,2.4
201008,70.8,2.4
201009,62.9,2.3
201010,47.1,-1.6
201011,37.5,1.2
201012,28.0,0.2
201101,21.9,-3.2
201102,26.1,-2.9
201103,40.2,3.3
201104,47.7,0.7
201105,55.1,-1.3
201106,70.0,4.7
201107,75.4,5.9
201108,73.8,5.4
201109,56.2,-4.4
201110,47.8,-0.9
201111,38.5,2.2
201112,30.0,2.2
201201,29.0,3.9
201202,32.9,3.9
201203,47.8,10.9
201204,52.7,5.7
201205,60.1,3.7
201206,66.4,1.1
201207,72.3,2.8
201208,67.5,-0.9
201209,61.0,0.4
201210,46.6,-2.1
201211,37.1,0.8
201212,29.7,1.9
201301,28.0,2.9
201302,29.1,0.1
201303,35.2,-1.7
201304,42.3,-4.7
201305,54.9,-1.5
201306,66.5,1.2
201307,68.0,-1.5
201308,68.9,0.5
201309,62.5,1.9
201310,48.3,-0.4
201311,35.4,-0.9
201312,23.7,-4.1
201401,22.0,-3.1
201402,24.3,-4.7
201403,32.3,-4.6
201404,45.5,-1.5
201405,55.8,-0.6
201406,67.1,1.8
201407,66.7,-2.8
201408,68.4,0.0
201409,61.8,1.2
201410,51.2,2.5
201411,32.1,-4.2
201412,33.9,6.1
201501,25.8,0.7
201502,25.3,-3.7
201503,39.1,2.2
201504,49.8,2.8
201505,56.4,0.0
201506,67.6,2.3
201507,71.3,1.8
201508,67.3,-1.1
201509,64.4,3.8
201510,50.6,1.9
201511,40.1,3.8
201512,32.7,4.9
201601,26.9,1.8
201602,33.4,4.4
201603,41.4,4.5
201604,48.8,1.8
201605,54.9,-1.5
201606,67.7,2.4
201607,71.7,2.2
201608,69.3,0.9
201609,63.1,2.5
201610,53.9,5.2
201611,42.7,6.4
201612,26.7,-1.1
201701,28.6,3.5
201702,36.7,7.7
201703,43.0,6.1
201704,49.8,2.8
201705,53.8,-2.6
201706,66.0,0.7
201707,70.8,1.3
201708,67.1,-1.3
201709,61.1,0.5
201710,48.6,-0.1
201711,40.4,4.1
201712,28.9,1.1
201801,22.8,-2.3
201802,28.5,-0.5
201803,39.3,2.4
201804,39.8,-7.2
201805,62.6,6.2
201806,69.0,3.7
201807,70.4,0.9
201808,68.8,0.4
201809,64.2,3.6
201810,50.1,1.4
201811,32.0,-4.3
201812,30.2,2.4
201901,27.8,2.7
201902,30.0,1.0
201903,36.3,-0.6
