Pennsylvania, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,18.1,1.0
198002,14.0,-3.3
198003,23.8,-2.1
198004,36.4,1.0
198005,46.2,0.8
198006,50.2,-4.0
198007,59.1,0.3
198008,61.2,4.2
198009,51.9,1.7
198010,36.9,-2.3
198011,28.2,-2.3
198012,16.5,-4.7
198101,10.6,-6.5
198102,20.5,3.2
198103,24.5,-1.4
198104,38.0,2.6
198105,44.3,-1.1
198106,55.3,1.1
198107,59.5,0.7
198108,55.8,-1.2
198109,50.8,0.6
198110,36.6,-2.6
198111,30.1,-0.4
198112,21.5,0.3
198201,9.4,-7.7
198202,18.3,1.0
198203,24.7,-1.2
198204,31.3,-4.1
198205,47.8,2.4
198206,52.8,-1.4
198207,58.4,-0.4
198208,53.2,-3.8
198209,50.5,0.3
198210,39.8,0.6
198211,34.3,3.8
198212,28.1,6.9
198301,20.1,3.0
198302,20.4,3.1
198303,29.6,3.7
198304,35.9,0.5
198305,43.0,-2.4
198306,53.5,-0.7
198307,58.7,-0.1
198308,59.1,2.1
198309,49.3,-0.9
198310,40.8,1.6
198311,32.3,1.8
198312,18.4,-2.8
198401,12.3,-4.8
198402,24.9,7.6
198403,20.5,-5.4
198404,36.3,0.9
198405,43.8,-1.6
198406,54.2,0.0
198407,57.1,-1.7
198408,59.1,2.1
198409,47.2,-3.0
198410,45.4,6.2
198411,28.6,-1.9
198412,27.7,6.5
198501,13.9,-3.2
198502,17.8,0.5
198503,27.3,1.4
198504,38.7,3.3
198505,46.4,1.0
198506,51.5,-2.7
198507,57.3,-1.5
198508,57.2,0.2
198509,51.1,0.9
198510,40.9,1.7
198511,37.3,6.8
198512,18.2,-3.0
198601,17.3,0.2
198602,19.9,2.6
198603,26.7,0.8
198604,37.6,2.2
198605,47.8,2.4
198606,53.4,-0.8
198607,60.3,1.5
198608,55.3,-1.7
198609,51.5,1.3
198610,41.1,1.9
198611,29.5,-1.0
198612,24.8,3.6
198701,17.6,0.5
198702,16.7,-0.6
198703,26.8,0.9
198704,38.2,2.8
198705,46.8,1.4
198706,56.9,2.7
198707,61.8,3.0
198708,56.9,-0.1
198709,52.0,1.8
198710,34.4,-4.8
198711,32.1,1.6
198712,26.2,5.0
198801,12.2,-4.9
198802,17.6,0.3
198803,26.2,0.3
198804,35.4,0.0
198805,46.3,0.9
198806,51.1,-3.1
198807,60.7,1.9
198808,60.1,3.1
198809,48.4,-1.8
198810,35.7,-3.5
198811,32.0,1.5
198812,20.3,-0.9
198901,22.2,5.1
198902,19.1,1.8
198903,25.8,-0.1
198904,33.0,-2.4
198905,45.4,0.0
198906,57.2,3.0
198907,60.3,1.5
198908,57.5,0.5
198909,51.4,1.2
198910,39.6,0.4
198911,28.8,-1.7
198912,9.2,-12.0
199001,26.3,9.2
199002,23.5,6.2
199003,29.1,3.2
199004,37.4,2.0
199005,44.5,-0.9
199006,54.5,0.3
199007,59.4,0.6
199008,58.3,1.3
199009,50.5,0.3
199010,42.7,3.5
199011,32.5,2.0
199012,25.6,4.4
199101,18.2,1.1
199102,23.7,6.4
199103,29.7,3.8
199104,39.2,3.8
199105,51.5,6.1
199106,55.2,1.0
199107,60.1,1.3
199108,58.7,1.7
199109,48.5,-1.7
199110,39.5,0.3
199111,30.5,0.0
199112,24.0,2.8
199201,20.2,3.1
199202,22.5,5.2
199203,25.0,-0.9
199204,36.4,1.0
199205,43.6,-1.8
199206,51.5,-2.7
199207,59.5,0.7
199208,54.6,-2.4
199209,50.0,-0.2
199210,35.6,-3.6
199211,33.4,2.9
199212,23.3,2.1
199301,23.4,6.3
199302,13.7,-3.6
199303,23.8,-2.1
199304,35.9,0.5
199305,45.6,0.2
199306,53.8,-0.4
199307,60.8,2.0
199308,58.5,1.5
199309,50.9,0.7
199310,37.3,-1.9
199311,30.8,0.3
199312,21.4,0.2
199401,9.2,-7.9
199402,13.8,-3.5
199403,24.9,-1.0
199404,37.5,2.1
199405,41.5,-3.9
199406,56.6,2.4
199407,61.7,2.9
199408,55.9,-1.1
199409,49.6,-0.6
199410,36.4,-2.8
199411,34.1,3.6
199412,25.7,4.5
199501,22.7,5.6
199502,14.5,-2.8
199503,28.4,2.5
199504,33.3,-2.1
199505,44.9,-0.5
199506,56.6,2.4
199507,61.4,2.6
199508,60.1,3.1
199509,47.8,-2.4
199510,41.9,2.7
199511,27.8,-2.7
199512,18.3,-2.9
199601,14.8,-2.3
199602,18.6,1.3
199603,21.5,-4.4
199604,35.2,-0.2
199605,44.6,-0.8
199606,56.9,2.7
199607,57.6,-1.2
199608,57.5,0.5
199609,52.7,2.5
199610,39.3,0.1
199611,27.5,-3.0
199612,27.2,6.0
199701,16.6,-0.5
199702,23.7,6.4
199703,27.9,2.0
199704,32.7,-2.7
199705,40.5,-4.9
199706,54.0,-0.2
199707,57.4,-1.4
199708,55.7,-1.3
199709,49.4,-0.8
199710,38.8,-0.4
199711,30.2,-0.3
199712,25.4,4.2
199801,27.5,10.4
199802,28.0,10.7
199803,30.4,4.5
199804,37.5,2.1
199805,51.0,5.6
199806,55.8,1.6
199807,58.2,-0.6
199808,58.6,1.6
199809,52.2,2.0
199810,41.3,2.1
199811,31.8,1.3
199812,26.7,5.5
199901,18.0,0.9
199902,22.3,5.0
199903,24.1,-1.8
199904,36.6,1.2
199905,46.1,0.7
199906,55.0,0.8
199907,61.8,3.0
199908,56.7,-0.3
199909,51.6,1.4
199910,37.4,-1.8
199911,34.7,4.2
199912,24.4,3.2
200001,16.6,-0.5
200002,22.0,4.7
200003,31.2,5.3
200004,36.5,1.1
200005,48.0,2.6
200006,56.8,2.6
200007,56.2,-2.6
200008,57.2,0.2
200009,49.4,-0.8
200010,39.9,0.7
200011,30.1,-0.4
200012,14.3,-6.9
200101,18.5,1.4
200102,22.9,5.6
200103,25.0,-0.9
200104,37.1,1.7
200105,46.2,0.8
200106,55.3,1.1
200107,55.8,-3.0
200108,60.2,3.2
200109,48.4,-1.8
200110,39.7,0.5
200111,34.2,3.7
200112,28.3,7.1
200201,24.9,7.8
200202,23.4,6.1
200203,27.7,1.8
200204,38.1,2.7
200205,42.4,-3.0
200206,56.4,2.2
200207,60.6,1.8
200208,59.5,2.5
200209,52.4,2.2
200210,40.5,1.3
200211,31.8,1.3
200212,20.3,-0.9
200301,13.4,-3.7
200302,15.8,-1.5
200303,25.6,-0.3
200304,35.9,0.5
200305,46.3,0.9
200306,54.1,-0.1
200307,58.8,0.0
200308,60.8,3.8
200309,52.2,2.0
200310,37.5,-1.7
200311,35.3,4.8
200312,23.1,1.9
200401,12.3,-4.8
200402,17.0,-0.3
200403,29.7,3.8
200404,37.7,2.3
200405,51.4,6.0
200406,54.0,-0.2
200407,59.6,0.8
200408,57.9,0.9
200409,53.7,3.5
200410,40.8,1.6
200411,34.2,3.7
200412,22.6,1.4
200501,18.2,1.1
200502,20.8,3.5
200503,23.2,-2.7
200504,36.4,1.0
200505,41.1,-4.3
200506,58.1,3.9
200507,61.7,2.9
200508,61.0,4.0
200509,52.8,2.6
200510,43.7,4.5
200511,32.2,1.7
200512,19.3,-1.9
200601,26.7,9.6
200602,21.3,4.0
200603,27.2,1.3
200604,37.2,1.8
200605,44.9,-0.5
200606,55.0,0.8
200607,62.0,3.2
200608,59.2,2.2
200609,51.2,1.0
200610,39.1,-0.1
200611,35.2,4.7
200612,28.2,7.0
200701,23.4,6.3
200702,12.0,-5.3
200703,26.0,0.1
200704,34.9,-0.5
200705,45.5,0.1
200706,55.0,0.8
200707,56.8,-2.0
200708,59.7,2.7
200709,51.7,1.5
200710,46.7,7.5
200711,30.8,0.3
200712,24.7,3.5
200801,21.2,4.1
200802,19.0,1.7
200803,25.8,-0.1
200804,38.6,3.2
200805,41.4,-4.0
200806,57.2,3.0
200807,59.7,0.9
200808,54.8,-2.2
200809,51.9,1.7
200810,37.3,-1.9
200811,31.1,0.6
200812,22.4,1.2
200901,12.3,-4.8
200902,19.8,2.5
200903,27.0,1.1
200904,36.6,1.2
200905,46.5,1.1
200906,54.5,0.3
200907,56.0,-2.8
200908,59.8,2.8
200909,51.5,1.3
200910,39.5,0.3
200911,35.8,5.3
200912,21.7,0.5
201001,18.7,1.6
201002,18.9,1.6
201003,31.3,5.4
201004,38.5,3.1
201005,48.7,3.3
201006,58.2,4.0
201007,61.2,2.4
201008,59.9,2.9
201009,51.6,1.4
201010,40.5,1.3
201011,30.9,0.4
201012,19.2,-2.0
201101,15.0,-2.1
201102,18.4,1.1
201103,26.4,0.5
201104,39.8,4.4
201105,50.4,5.0
201106,56.8,2.6
201107,61.9,3.1
201108,58.6,1.6
201109,56.0,5.8
201110,41.5,2.3
201111,34.4,3.9
201112,27.3,6.1
201201,21.3,4.2
201202,25.9,8.6
201203,35.7,9.8
201204,35.3,-0.1
201205,51.9,6.5
201206,54.6,0.4
201207,62.6,3.8
201208,58.5,1.5
201209,51.1,0.9
201210,42.6,3.4
201211,29.0,-1.5
