Rhode Island, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,20.8,2.2
198002,16.6,-2.4
198003,26.8,-0.4
198004,38.7,2.9
198005,47.5,2.0
198006,52.5,-2.0
198007,62.2,1.5
198008,62.5,3.4
198009,52.5,0.4
198010,39.7,-2.0
198011,30.4,-2.4
198012,16.8,-5.9
198101,9.5,-9.1
198102,25.4,6.4
198103,27.6,0.4
198104,39.2,3.4
198105,46.4,0.9
198106,56.8,2.3
198107,62.3,1.6
198108,57.8,-1.3
198109,50.9,-1.2
198110,39.6,-2.1
198111,33.3,0.5
198112,23.8,1.1
198201,10.4,-8.2
198202,21.9,2.9
198203,26.7,-0.5
198204,33.2,-2.6
198205,46.5,1.0
198206,53.2,-1.3
198207,60.8,0.1
198208,57.0,-2.1
198209,52.3,0.2
198210,40.8,-0.9
198211,36.7,3.9
198212,28.6,5.9
198301,20.9,2.3
198302,22.4,3.4
198303,31.7,4.5
198304,38.1,2.3
198305,45.5,0.0
198306,56.0,1.5
198307,61.6,0.9
198308,61.1,2.0
198309,53.9,1.8
198310,43.0,1.3
198311,35.1,2.3
198312,22.4,-0.3
198401,16.8,-1.8
198402,27.3,8.3
198403,24.1,-3.1
198404,36.9,1.1
198405,45.6,0.1
198406,57.4,2.9
198407,61.3,0.6
198408,63.0,3.9
198409,49.1,-3.0
198410,45.2,3.5
198411,33.1,0.3
198412,28.0,5.3
198501,14.3,-4.3
198502,21.4,2.4
198503,28.6,1.4
198504,38.2,2.4
198505,46.5,1.0
198506,52.8,-1.7
198507,60.8,0.1
198508,60.2,1.1
198509,53.1,1.0
198510,42.0,0.3
198511,37.0,4.2
198512,20.7,-2.0
198601,20.2,1.6
198602,20.5,1.5
198603,27.8,0.6
198604,38.5,2.7
198605,46.8,1.3
198606,53.2,-1.3
198607,60.5,-0.2
198608,58.4,-0.7
198609,50.7,-1.4
198610,41.4,-0.3
198611,30.6,-2.2
198612,26.1,3.4
198701,18.8,0.2
198702,17.6,-1.4
198703,29.0,1.8
198704,38.3,2.5
198705,46.0,0.5
198706,56.5,2.0
198707,61.5,0.8
198708,57.4,-1.7
198709,53.3,1.2
198710,38.8,-2.9
198711,31.9,-0.9
198712,25.5,2.8
198801,15.4,-3.2
198802,21.4,2.4
198803,27.9,0.7
198804,37.1,1.3
198805,46.8,1.3
198806,53.5,-1.0
198807,63.2,2.5
198808,63.9,4.8
198809,50.2,-1.9
198810,37.7,-4.0
198811,33.3,0.5
198812,21.9,-0.8
198901,22.7,4.1
198902,19.9,0.9
