South Dakota, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,4.6,0.4
198002,9.6,0.8
198003,17.2,-2.4
198004,33.8,1.9
198005,44.5,1.5
198006,54.4,1.4
198007,59.7,0.9
198008,56.5,0.0
198009,46.1,0.1
198010,33.7,-0.5
198011,25.6,5.0
198012,12.5,3.3
198101,13.2,9.0
198102,13.5,4.7
198103,22.6,3.0
198104,36.8,4.9
198105,42.7,-0.3
198106,52.6,-0.4
198107,60.1,1.3
198108,57.2,0.7
198109,46.2,0.2
198110,35.2,1.0
198111,25.7,5.1
198112,10.6,1.4
198201,-7.4,-11.6
198202,7.8,-1.0
198203,20.4,0.8
198204,29.2,-2.7
198205,45.7,2.7
198206,49.5,-3.5
198207,59.3,0.5
198208,57.6,1.1
198209,46.1,0.1
198210,35.2,1.0
198211,18.3,-2.3
198212,14.3,5.1
198301,15.2,11.0
198302,19.4,10.6
198303,24.6,5.0
198304,28.7,-3.2
198305,39.1,-3.9
198306,52.0,-1.0
198307,61.7,2.9
198308,62.8,6.3
198309,46.2,0.2
198310,35.8,1.6
198311,24.0,3.4
198312,-6.9,-16.1
198401,10.4,6.2
198402,20.2,11.4
198403,19.4,-0.2
198404,32.8,0.9
198405,41.1,-1.9
198406,53.6,0.6
198407,58.9,0.1
198408,59.5,3.0
198409,41.7,-4.3
198410,34.8,0.6
198411,21.5,0.9
198412,3.9,-5.3
198501,2.0,-2.2
198502,6.4,-2.4
198503,22.9,3.3
198504,35.5,3.6
198505,46.7,3.7
198506,49.2,-3.8
198507,58.9,0.1
198508,54.2,-2.3
198509,45.9,-0.1
198510,33.5,-0.7
198511,8.7,-11.9
198512,2.3,-6.9
198601,13.8,9.6
198602,8.5,-0.3
198603,28.3,8.7
198604,33.4,1.5
198605,44.4,1.4
198606,56.3,3.3
198607,59.2,0.4
198608,53.9,-2.6
198609,46.6,0.6
198610,36.3,2.1
198611,17.8,-2.8
198612,15.3,6.1
198701,14.3,10.1
198702,21.5,12.7
198703,23.2,3.6
198704,36.5,4.6
198705,49.1,6.1
198706,55.3,2.3
198707,61.1,2.3
198708,55.1,-1.4
198709,46.0,0.0
198710,30.5,-3.7
198711,26.4,5.8
198712,15.6,6.4
198801,1.6,-2.6
198802,6.4,-2.4
198803,21.7,2.1
198804,30.4,-1.5
198805,48.2,5.2
198806,60.6,7.6
198807,60.4,1.6
198808,57.7,1.2
198809,45.6,-0.4
198810,32.7,-1.5
198811,22.6,2.0
198812,12.6,3.4
198901,11.5,7.3
198902,-0.3,-9.1
198903,17.1,-2.5
198904,33.3,1.4
198905,43.1,0.1
198906,50.6,-2.4
198907,62.0,3.2
198908,58.2,1.7
198909,46.3,0.3
198910,34.2,0.0
198911,21.2,0.6
198912,2.9,-6.3
199001,17.8,13.6
199002,13.5,4.7
199003,24.5,4.9
199004,30.7,-1.2
199005,42.1,-0.9
199006,54.6,1.6
199007,58.1,-0.7
199008,58.0,1.5
199009,50.0,4.0
199010,32.5,-1.7
199011,23.7,3.1
199012,2.9,-6.3
199101,3.6,-0.6
199102,18.7,9.9
199103,23.7,4.1
199104,35.4,3.5
199105,47.6,4.6
199106,58.5,5.5
199107,59.0,0.2
199108,59.2,2.7
199109,46.9,0.9
199110,31.2,-3.0
199111,17.3,-3.3
199112,16.3,7.1
199201,16.0,11.8
199202,21.3,12.5
199203,26.2,6.6
199204,31.7,-0.2
199205,43.5,0.5
199206,51.5,-1.5
199207,53.7,-5.1
199208,52.6,-3.9
199209,45.0,-1.0
199210,33.7,-0.5
199211,22.9,2.3
199212,7.2,-2.0
199301,2.7,-1.5
199302,4.4,-4.4
199303,22.1,2.5
199304,32.1,0.2
199305,43.5,0.5
199306,50.6,-2.4
199307,56.4,-2.4
199308,55.9,-0.6
199309,41.8,-4.2
199310,32.0,-2.2
199311,17.9,-2.7
199312,14.5,5.3
199401,0.5,-3.7
199402,1.9,-6.9
199403,24.4,4.8
199404,31.4,-0.5
199405,46.6,3.6
199406,55.2,2.2
199407,55.8,-3.0
199408,55.5,-1.0
199409,48.6,2.6
199410,38.4,4.2
199411,23.6,3.0
199412,14.2,5.0
199501,9.9,5.7
199502,14.9,6.1
199503,20.7,1.1
199504,29.3,-2.6
199505,42.2,-0.8
199506,54.5,1.5
199507,58.6,-0.2
199508,60.5,4.0
199509,45.9,-0.1
199510,35.3,1.1
199511,19.4,-1.2
199512,12.4,3.2
199601,-0.4,-4.6
199602,12.0,3.2
199603,13.5,-6.1
199604,29.4,-2.5
199605,42.5,-0.5
199606,55.0,2.0
199607,56.3,-2.5
199608,56.9,0.4
199609,46.9,0.9
199610,33.6,-0.6
199611,14.0,-6.6
199612,2.6,-6.6
199701,1.2,-3.0
199702,13.6,4.8
199703,20.4,0.8
199704,28.3,-3.6
199705,40.6,-2.4
199706,55.7,2.7
199707,59.8,1.0
199708,57.5,1.0
199709,49.3,3.3
199710,35.8,1.6
199711,19.6,-1.0
199712,18.8,9.6
199801,9.2,5.0
199802,24.5,15.7
199803,17.8,-1.8
199804,34.0,2.1
199805,46.4,3.4
199806,50.6,-2.4
199807,61.2,2.4
199808,59.6,3.1
199809,52.0,6.0
199810,37.8,3.6
199811,27.3,6.7
199812,13.6,4.4
199901,7.0,2.8
199902,22.2,13.4
199903,25.0,5.4
199904,33.8,1.9
199905,44.2,1.2
199906,53.8,0.8
199907,60.7,1.9
199908,57.3,0.8
199909,43.6,-2.4
199910,33.4,-0.8
199911,28.4,7.8
199912,17.4,8.2
200001,9.8,5.6
200002,18.1,9.3
200003,26.2,6.6
200004,31.6,-0.3
200005,45.0,2.0
200006,51.4,-1.6
200007,60.1,1.3
200008,59.2,2.7
200009,46.6,0.6
200010,37.6,3.4
200011,15.5,-5.1
200012,0.7,-8.5
200101,12.6,8.4
200102,2.4,-6.4
200103,20.0,0.4
200104,34.2,2.3
200105,45.5,2.5
200106,53.9,0.9
200107,62.3,3.5
200108,59.0,2.5
200109,48.6,2.6
200110,34.0,-0.2
200111,27.3,6.7
200112,14.9,5.7
200201,13.4,9.2
200202,16.8,8.0
200203,11.7,-7.9
200204,31.0,-0.9
200205,38.6,-4.4
200206,56.1,3.1
200207,63.2,4.4
200208,57.0,0.5
200209,49.3,3.3
200210,29.3,-4.9
200211,23.0,2.4
200212,16.2,7.0
200301,8.8,4.6
200302,7.8,-1.0
200303,19.4,-0.2
200304,35.2,3.3
200305,43.1,0.1
200306,52.0,-1.0
200307,60.0,1.2
200308,60.4,3.9
200309,45.2,-0.8
200310,37.3,3.1
200311,17.6,-3.0
200312,17.7,8.5
200401,6.1,1.9
200402,12.5,3.7
200403,26.9,7.3
200404,32.9,1.0
200405,42.7,-0.3
200406,49.4,-3.6
200407,57.8,-1.0
200408,52.5,-4.0
200409,50.0,4.0
200410,36.6,2.4
200411,24.8,4.2
200412,16.3,7.1
200501,6.7,2.5
200502,17.0,8.2
200503,22.6,3.0
200504,35.1,3.2
200505,41.8,-1.2
200506,56.8,3.8
200507,60.4,1.6
200508,56.9,0.4
200509,50.6,4.6
200510,35.8,1.6
200511,24.9,4.3
200512,11.8,2.6
200601,23.0,18.8
200602,12.3,3.5
200603,22.2,2.6
200604,36.9,5.0
200605,44.1,1.1
200606,55.0,2.0
200607,62.8,4.0
200608,58.6,2.1
200609,44.9,-1.1
200610,31.7,-2.5
200611,21.3,0.7
200612,15.2,6.0
200701,9.4,5.2
200702,5.9,-2.9
200703,28.2,8.6
200704,31.1,-0.8
200705,47.2,4.2
200706,55.8,2.8
200707,62.6,3.8
200708,59.4,2.9
200709,48.3,2.3
200710,37.8,3.6
200711,22.6,2.0
200712,9.0,-0.2
200801,4.6,0.4
200802,7.2,-1.6
200803,20.4,0.8
200804,28.6,-3.3
200805,40.9,-2.1
200806,51.6,-1.4
200807,59.3,0.5
200808,57.9,1.4
200809,46.3,0.3
200810,35.0,0.8
200811,24.6,4.0
200812,3.5,-5.7
200901,5.6,1.4
200902,13.0,4.2
200903,18.3,-1.3
200904,31.0,-0.9
