California, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,37.7,5.0
198002,39.6,4.5
198003,36.7,-0.9
198004,42.1,0.5
198005,46.0,-1.4
198006,51.4,-2.3
198007,60.7,1.2
198008,58.2,-0.4
198009,54.0,0.2
198010,47.1,0.9
198011,38.4,0.2
198012,35.8,2.6
198101,37.1,4.4
198102,36.7,1.6
198103,38.6,1.0
198104,43.5,1.9
198105,49.0,1.6
198106,58.3,4.6
198107,59.8,0.3
198108,60.1,1.5
198109,56.3,2.5
198110,44.8,-1.4
198111,41.8,3.6
198112,37.8,4.6
198201,30.9,-1.8
198202,36.5,1.4
198203,37.4,-0.2
198204,40.5,-1.1
198205,47.9,0.5
198206,53.4,-0.3
198207,58.9,-0.6
198208,59.7,1.1
198209,54.6,0.8
198210,46.1,-0.1
198211,37.3,-0.9
198212,33.6,0.4
198301,35.1,2.4
198302,38.5,3.4
198303,40.5,2.9
198304,39.3,-2.3
198305,47.9,0.5
198306,53.6,-0.1
198307,57.3,-2.2
198308,60.6,2.0
198309,57.8,4.0
198310,49.3,3.1
198311,40.4,2.2
198312,37.6,4.4
198401,35.1,2.4
198402,34.4,-0.7
198403,39.7,2.1
198404,40.6,-1.0
198405,50.7,3.3
198406,54.2,0.5
198407,62.8,3.3
198408,60.8,2.2
198409,57.9,4.1
198410,45.0,-1.2
198411,38.4,0.2
198412,32.7,-0.5
198501,31.9,-0.8
198502,33.3,-1.8
198503,35.1,-2.5
198504,44.3,2.7
198505,47.2,-0.2
198506,57.0,3.3
198507,62.5,3.0
198508,57.5,-1.1
198509,51.9,-1.9
198510,45.8,-0.4
198511,36.4,-1.8
198512,33.4,0.2
198601,39.0,6.3
198602,39.6,4.5
198603,42.2,4.6
198604,42.3,0.7
198605,48.3,0.9
198606,56.5,2.8
198607,58.5,-1.0
198608,61.0,2.4
198609,51.1,-2.7
198610,46.1,-0.1
198611,39.3,1.1
198612,34.0,0.8
198701,31.4,-1.3
198702,35.4,0.3
198703,37.6,0.0
198704,44.5,2.9
198705,50.3,2.9
198706,56.1,2.4
198707,56.6,-2.9
198708,59.0,0.4
198709,54.8,1.0
198710,51.0,4.8
198711,39.6,1.4
198712,32.7,-0.5
198801,33.3,0.6
198802,35.2,0.1
198803,37.9,0.3
198804,43.0,1.4
198805,46.6,-0.8
198806,54.3,0.6
198807,62.6,3.1
198808,59.7,1.1
