Texas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,35.6,2.5
198002,34.9,-1.8
198003,41.3,-2.0
198004,47.9,-3.9
198005,60.5,0.3
198006,70.4,2.9
198007,72.4,2.1
198008,70.9,1.4
198009,66.6,2.9
198010,50.4,-2.9
198011,39.8,-2.2
198012,37.2,2.4
198101,34.1,1.0
198102,37.2,0.5
198103,44.1,0.8
198104,56.7,4.9
198105,59.1,-1.1
198106,68.4,0.9
198107,71.1,0.8
198108,68.6,-0.9
198109,62.8,-0.9
198110,55.5,2.2
198111,43.8,1.8
198112,35.5,0.7
198201,32.0,-1.1
198202,34.4,-2.3
198203,46.9,3.6
198204,52.0,0.2
198205,60.6,0.4
198206,66.6,-0.9
198207,70.9,0.6
198208,70.8,1.3
198209,63.7,0.0
198210,52.6,-0.7
198211,43.6,1.6
198212,36.6,1.8
198301,32.8,-0.3
198302,37.0,0.3
198303,42.8,-0.5
198304,47.2,-4.6
198305,57.8,-2.4
198306,64.7,-2.8
198307,70.3,0.0
198308,70.5,1.0
198309,64.0,0.3
198310,55.6,2.3
198311,45.1,3.1
198312,26.9,-7.9
198401,30.4,-2.7
198402,35.7,-1.0
198403,43.6,0.3
198404,49.8,-2.0
198405,60.6,0.4
198406,68.4,0.9
198407,69.2,-1.1
198408,69.3,-0.2
198409,61.5,-2.2
198410,55.7,2.4
198411,42.9,0.9
198412,42.6,7.8
198501,28.6,-4.5
198502,34.7,-2.0
198503,48.6,5.3
198504,54.2,2.4
198505,61.2,1.0
198506,66.5,-1.0
198507,68.7,-1.6
198508,70.2,0.7
198509,64.1,0.4
198510,56.2,2.9
198511,46.3,4.3
198512,30.7,-4.1
198601,34.3,1.2
198602,40.2,3.5
198603,45.3,2.0
198604,56.0,4.2
198605,60.6,0.4
198606,68.1,0.6
198607,70.5,0.2
198608,69.3,-0.2
198609,67.4,3.7
198610,54.1,0.8
198611,43.1,1.1
198612,36.8,2.0
198701,33.0,-0.1
198702,40.1,3.4
198703,40.2,-3.1
198704,47.1,-4.7
198705,61.0,0.8
198706,66.6,-0.9
198707,69.5,-0.8
198708,70.3,0.8
198709,62.1,-1.6
198710,51.7,-1.6
198711,42.0,0.0
198712,35.3,0.5
198801,30.2,-2.9
198802,35.2,-1.5
198803,41.7,-1.6
198804,49.0,-2.8
198805,58.4,-1.8
198806,65.8,-1.7
198807,69.8,-0.5
198808,70.1,0.6
198809,63.1,-0.6
198810,53.1,-0.2
198811,43.8,1.8
198812,35.6,0.8
198901,37.8,4.7
198902,34.8,-1.9
198903,43.3,0.0
198904,53.0,1.2
198905,63.1,2.9
198906,66.1,-1.4
198907,69.6,-0.7
198908,69.1,-0.4
198909,60.1,-3.6
198910,52.4,-0.9
198911,43.5,1.5
198912,26.6,-8.2
199001,37.2,4.1
199002,40.1,3.4
199003,46.4,3.1
199004,53.0,1.2
199005,61.0,0.8
199006,71.1,3.6
199007,68.9,-1.4
199008,68.7,-0.8
199009,65.4,1.7
199010,50.6,-2.7
199011,45.8,3.8
199012,32.9,-1.9
199101,33.6,0.5
199102,39.7,3.0
199103,45.8,2.5
199104,54.2,2.4
199105,63.0,2.8
199106,67.9,0.4
199107,69.6,-0.7
199108,69.0,-0.5
199109,62.2,-1.5
199110,53.5,0.2
199111,39.2,-2.8
199112,40.0,5.2
199201,35.7,2.6
199202,41.5,4.8
199203,46.1,2.8
199204,52.3,0.5
199205,58.9,-1.3
199206,66.5,-1.0
199207,70.2,-0.1
199208,66.3,-3.2
199209,63.7,0.0
199210,53.0,-0.3
199211,39.8,-2.2
