Vermont, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,9.3,4.5
198002,4.6,-0.8
198003,17.0,0.2
198004,31.4,2.4
198005,39.8,-0.1
198006,46.4,-2.5
198007,55.1,1.1
198008,54.2,2.4
198009,44.2,-0.4
198010,33.3,-1.0
198011,22.0,-2.7
198012,1.2,-10.0
198101,-4.9,-9.7
198102,17.8,12.4
198103,20.6,3.8
198104,32.0,3.0
198105,41.3,1.4
198106,49.8,0.9
198107,55.2,1.2
198108,51.4,-0.4
198109,46.0,1.4
198110,31.4,-2.9
198111,26.4,1.7
198112,15.3,4.1
198201,-5.7,-10.5
198202,6.3,0.9
198203,15.6,-1.2
198204,26.2,-2.8
198205,41.5,1.6
198206,48.3,-0.6
198207,52.2,-1.8
198208,49.3,-2.5
198209,46.0,1.4
198210,33.7,-0.6
198211,28.8,4.1
198212,18.0,6.8
198301,8.9,4.1
198302,9.9,4.5
198303,22.5,5.7
198304,31.3,2.3
198305,40.4,0.5
198306,49.0,0.1
198307,54.0,0.0
198308,53.5,1.7
198309,46.1,1.5
198310,34.3,0.0
198311,27.1,2.4
198312,10.1,-1.1
198401,2.6,-2.2
198402,17.3,11.9
198403,11.1,-5.7
198404,31.4,2.4
198405,39.1,-0.8
198406,49.3,0.4
198407,54.4,0.4
198408,55.8,4.0
198409,41.4,-3.2
198410,36.1,1.8
198411,24.8,0.1
198412,18.0,6.8
198501,2.3,-2.5
198502,10.7,5.3
198503,18.3,1.5
198504,30.4,1.4
198505,40.3,0.4
198506,47.6,-1.3
198507,52.9,-1.1
198508,51.4,-0.4
198509,46.0,1.4
198510,35.1,0.8
198511,27.2,2.5
198512,9.0,-2.2
198601,5.8,1.0
198602,4.2,-1.2
198603,19.3,2.5
198604,33.5,4.5
198605,43.7,3.8
198606,46.4,-2.5
198607,54.0,0.0
198608,52.1,0.3
198609,43.6,-1.0
198610,34.1,-0.2
198611,22.6,-2.1
198612,16.4,5.2
198701,5.5,0.7
198702,1.7,-3.7
198703,19.4,2.6
198704,33.8,4.8
198705,40.4,0.5
198706,50.9,2.0
198707,55.5,1.5
198708,49.5,-2.3
198709,46.2,1.6
198710,31.7,-2.6
198711,24.2,-0.5
198712,18.7,7.5
198801,4.1,-0.7
198802,6.8,1.4
198803,16.4,-0.4
198804,31.6,2.6
198805,43.0,3.1
198806,45.4,-3.5
198807,57.2,3.2
198808,55.7,3.9
198809,42.4,-2.2
198810,32.7,-1.6
198811,26.5,1.8
198812,9.0,-2.2
198901,9.6,4.8
198902,6.8,1.4
198903,14.7,-2.1
198904,27.0,-2.0
198905,43.5,3.6
198906,51.7,2.8
198907,54.0,0.0
198908,52.4,0.6
198909,46.3,1.7
198910,35.5,1.2
198911,23.8,-0.9
198912,-7.0,-18.2
199001,17.5,12.7
199002,8.8,3.4
199003,18.5,1.7
199004,32.1,3.1
199005,38.2,-1.7
199006,50.3,1.4
199007,54.6,0.6
199008,55.0,3.2
