Virginia, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,26.8,1.8
198002,20.9,-5.2
198003,31.4,-1.9
198004,42.7,1.0
198005,51.2,0.2
198006,56.9,-2.5
198007,64.4,0.6
198008,64.2,1.8
198009,59.2,3.3
198010,42.3,-1.7
198011,32.1,-2.1
198012,25.6,-1.3
198101,18.9,-6.1
198102,26.0,-0.1
198103,29.6,-3.7
198104,44.7,3.0
198105,48.3,-2.7
198106,62.6,3.2
198107,64.6,0.8
198108,59.8,-2.6
198109,53.4,-2.5
198110,40.6,-3.4
198111,34.0,-0.2
198112,25.2,-1.7
198201,18.8,-6.2
198202,28.2,2.1
198203,33.5,0.2
198204,38.8,-2.9
198205,53.2,2.2
198206,59.4,0.0
198207,64.4,0.6
198208,60.3,-2.1
198209,54.3,-1.6
198210,44.9,0.9
198211,36.9,2.7
198212,33.2,6.3
198301,25.7,0.7
198302,26.0,-0.1
198303,36.1,2.8
198304,40.6,-1.1
198305,48.9,-2.1
198306,58.4,-1.0
198307,62.7,-1.1
198308,63.6,1.2
198309,54.1,-1.8
198310,45.3,1.3
198311,35.0,0.8
198312,25.0,-1.9
198401,21.2,-3.8
198402,30.8,4.7
198403,30.6,-2.7
198404,41.2,-0.5
198405,49.6,-1.4
198406,60.6,1.2
198407,62.5,-1.3
198408,63.0,0.6
198409,52.3,-3.6
198410,52.4,8.4
198411,31.6,-2.6
198412,34.0,7.1
198501,20.8,-4.2
198502,26.1,0.0
198503,34.6,1.3
198504,44.3,2.6
198505,52.3,1.3
198506,58.1,-1.3
198507,63.3,-0.5
198508,61.9,-0.5
198509,54.4,-1.5
198510,48.4,4.4
198511,44.4,10.2
198512,24.0,-2.9
198601,22.5,-2.5
198602,29.4,3.3
198603,32.6,-0.7
198604,42.9,1.2
198605,51.4,0.4
198606,60.2,0.8
198607,66.0,2.2
198608,61.6,-0.8
198609,57.5,1.6
198610,46.4,2.4
198611,37.7,3.5
198612,28.1,1.2
198701,23.9,-1.1
198702,25.1,-1.0
198703,32.7,-0.6
198704,41.0,-0.7
198705,53.1,2.1
198706,61.3,1.9
198707,65.7,1.9
198708,63.8,1.4
198709,57.8,1.9
198710,36.6,-7.4
198711,36.1,1.9
198712,30.6,3.7
198801,19.4,-5.6
198802,25.2,-0.9
198803,32.7,-0.6
198804,40.8,-0.9
198805,49.9,-1.1
198806,56.6,-2.8
198807,64.0,0.2
198808,65.1,2.7
198809,54.4,-1.5
198810,37.2,-6.8
198811,34.0,-0.2
198812,25.4,-1.5
198901,28.6,3.6
198902,27.5,1.4
198903,34.7,1.4
198904,40.3,-1.4
198905,49.0,-2.0
198906,62.7,3.3
198907,65.1,1.3
198908,63.4,1.0
198909,57.8,1.9
198910,44.1,0.1
198911,34.5,0.3
198912,17.1,-9.8
199001,31.3,6.3
199002,32.2,6.1
199003,37.7,4.4
199004,41.6,-0.1
199005,51.4,0.4
199006,58.9,-0.5
199007,64.7,0.9
199008,63.4,1.0
199009,55.2,-0.7
199010,46.3,2.3
199011,35.4,1.2
199012,32.1,5.2
199101,27.4,2.4
199102,29.2,3.1
199103,36.5,3.2
199104,44.6,2.9
199105,57.2,6.2
199106,60.4,1.0
199107,66.8,3.0
199108,63.4,1.0
199109,55.7,-0.2
199110,42.9,-1.1
199111,33.9,-0.3
199112,30.3,3.4
199201,27.3,2.3
199202,29.7,3.6
199203,33.2,-0.1
199204,42.1,0.4
199205,48.4,-2.6
199206,57.3,-2.1
199207,65.4,1.6
199208,60.7,-1.7
199209,56.9,1.0
199210,40.8,-3.2
199211,37.5,3.3
199212,29.0,2.1
199301,30.1,5.1
199302,24.3,-1.8
199303,31.8,-1.5
199304,40.4,-1.3
199305,52.1,1.1
199306,58.9,-0.5
199307,66.6,2.8
199308,63.2,0.8
199309,57.4,1.5
199310,42.6,-1.4
199311,35.2,1.0
199312,26.5,-0.4
199401,20.4,-4.6
199402,26.6,0.5
199403,33.6,0.3
