Washington, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,17.0,-5.4
198002,28.4,2.6
198003,30.2,0.7
198004,36.6,2.4
198005,41.9,1.8
198006,45.0,-0.6
198007,50.2,-0.1
198008,47.9,-1.9
198009,45.8,1.2
198010,36.8,-0.3
198011,32.7,2.7
198012,29.6,4.4
198101,31.2,8.8
198102,28.6,2.8
198103,31.6,2.1
198104,34.4,0.2
198105,41.0,0.9
198106,44.4,-1.2
198107,49.6,-0.7
198108,52.2,2.4
198109,44.9,0.3
198110,35.6,-1.5
198111,32.1,2.1
198112,25.9,0.7
198201,22.4,0.0
198202,25.6,-0.2
198203,29.1,-0.4
198204,30.3,-3.9
198205,38.4,-1.7
198206,48.4,2.8
198207,50.3,0.0
198208,50.7,0.9
198209,45.9,1.3
198210,36.9,-0.2
198211,27.0,-3.0
198212,24.8,-0.4
198301,30.1,7.7
198302,31.8,6.0
198303,34.2,4.7
198304,33.5,-0.7
198305,41.3,1.2
198306,45.9,0.3
198307,49.7,-0.6
198308,52.3,2.5
198309,42.3,-2.3
198310,35.9,-1.2
198311,34.4,4.4
198312,17.1,-8.1
198401,25.9,3.5
198402,29.5,3.7
198403,33.2,3.7
198404,33.7,-0.5
198405,38.0,-2.1
198406,44.8,-0.8
198407,49.7,-0.6
198408,50.1,0.3
198409,42.9,-1.7
198410,34.3,-2.8
198411,30.7,0.7
198412,18.3,-6.9
198501,20.9,-1.5
198502,20.5,-5.3
198503,26.9,-2.6
198504,34.9,0.7
198505,40.8,0.7
198506,45.4,-0.2
198507,53.0,2.7
198508,48.8,-1.0
198509,42.6,-2.0
198510,36.2,-0.9
198511,18.5,-11.5
198512,18.4,-6.8
198601,27.5,5.1
198602,26.3,0.5
198603,33.8,4.3
198604,33.8,-0.4
198605,41.2,1.1
198606,48.7,3.1
198607,48.6,-1.7
198608,53.4,3.6
198609,44.2,-0.4
198610,38.2,1.1
198611,31.6,1.6
198612,26.1,0.9
198701,24.2,1.8
198702,29.7,3.9
198703,32.8,3.3
198704,37.3,3.1
198705,42.2,2.1
198706,47.2,1.6
198707,51.3,1.0
198708,49.9,0.1
198709,46.2,1.6
198710,36.1,-1.0
198711,33.4,3.4
198712,24.2,-1.0
198801,23.2,0.8
198802,27.6,1.8
198803,30.2,0.7
198804,36.5,2.3
198805,40.3,0.2
198806,45.9,0.3
198807,50.2,-0.1
198808,49.7,-0.1
198809,44.4,-0.2
198810,41.8,4.7
198811,32.5,2.5
198812,25.7,0.5
198901,25.9,3.5
198902,17.8,-8.0
198903,29.5,0.0
198904,36.7,2.5
198905,40.4,0.3
198906,48.1,2.5
198907,50.0,-0.3
198908,50.5,0.7
198909,44.7,0.1
198910,37.1,0.0
198911,33.5,3.5
198912,28.9,3.7
199001,29.3,6.9
199002,24.1,-1.7
199003,30.8,1.3
199004,37.9,3.7
199005,40.6,0.5
199006,46.8,1.2
199007,53.6,3.3
199008,53.3,3.5
199009,48.5,3.9
199010,35.7,-1.4
199011,32.8,2.8
199012,17.9,-7.3
199101,22.2,-0.2
199102,32.5,6.7
199103,28.6,-0.9
199104,34.3,0.1
199105,40.4,0.3
199106,44.3,-1.3
199107,51.3,1.0
199108,53.1,3.3
199109,46.5,1.9
199110,35.4,-1.7
199111,32.0,2.0
199112,29.6,4.4
199201,29.5,7.1
199202,32.9,7.1
199203,33.9,4.4
199204,37.3,3.1
199205,42.3,2.2
199206,50.5,4.9
199207,52.4,2.1
199208,51.3,1.5
199209,43.4,-1.2
199210,39.0,1.9
199211,31.3,1.3
199212,21.7,-3.5
199301,18.4,-4.0
199302,22.1,-3.7
199303,30.5,1.0
199304,36.1,1.9
199305,45.4,5.3
199306,46.6,1.0
199307,49.0,-1.3
199308,50.2,0.4
199309,44.6,0.0
199310,39.5,2.4
