Wisconsin, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,5.0,2.0
198002,3.7,-2.4
198003,14.5,-3.8
198004,33.0,1.7
198005,43.6,1.3
198006,51.0,-1.2
198007,58.2,1.1
198008,57.4,2.7
198009,46.9,0.1
198010,32.3,-3.8
198011,24.8,1.3
198012,9.7,-0.3
198101,4.8,1.8
198102,12.0,5.9
198103,22.1,3.8
198104,34.4,3.1
198105,40.0,-2.3
198106,53.3,1.1
198107,57.1,0.0
198108,56.5,1.8
198109,45.2,-1.6
198110,33.9,-2.2
198111,26.5,3.0
198112,10.7,0.7
198201,-7.7,-10.7
198202,3.8,-2.3
198203,17.9,-0.4
198204,27.7,-3.6
198205,48.0,5.7
198206,46.3,-5.9
198207,58.4,1.3
198208,53.4,-1.3
198209,46.9,0.1
198210,37.8,1.7
198211,23.4,-0.1
198212,18.2,8.2
198301,11.1,8.1
198302,18.2,12.1
198303,24.0,5.7
198304,29.9,-1.4
198305,38.9,-3.4
198306,52.5,0.3
198307,61.2,4.1
198308,59.6,4.9
198309,48.4,1.6
198310,37.4,1.3
198311,27.3,3.8
198312,-1.8,-11.8
198401,1.9,-1.1
198402,18.8,12.7
198403,14.2,-4.1
198404,33.9,2.6
198405,40.0,-2.3
198406,54.7,2.5
198407,55.8,-1.3
198408,58.0,3.3
198409,44.6,-2.2
198410,40.3,4.2
198411,23.2,-0.3
198412,11.3,1.3
198501,0.4,-2.6
198502,4.9,-1.2
198503,24.2,5.9
198504,36.7,5.4
198505,46.0,3.7
198506,48.9,-3.3
198507,55.3,-1.8
198508,53.5,-1.2
198509,48.2,1.4
198510,35.7,-0.4
198511,19.4,-4.1
198512,-2.4,-12.4
198601,5.0,2.0
198602,6.4,0.3
198603,21.7,3.4
198604,36.3,5.0
198605,45.2,2.9
198606,51.7,-0.5
198607,59.7,2.6
198608,52.0,-2.7
198609,49.0,2.2
198610,36.7,0.6
198611,19.2,-4.3
198612,15.1,5.1
198701,11.4,8.4
198702,17.0,10.9
198703,24.7,6.4
198704,34.9,3.6
198705,45.6,3.3
198706,55.2,3.0
198707,60.8,3.7
198708,55.8,1.1
198709,47.6,0.8
198710,30.8,-5.3
198711,28.1,4.6
198712,18.7,8.7
198801,-0.4,-3.4
198802,1.4,-4.7
198803,20.5,2.2
198804,31.1,-0.2
198805,44.2,1.9
198806,53.3,1.1
198807,58.8,1.7
198808,59.3,4.6
198809,47.8,1.0
198810,30.5,-5.6
198811,27.1,3.6
198812,9.5,-0.5
198901,11.9,8.9
198902,-1.1,-7.2
198903,14.8,-3.5
198904,29.9,-1.4
198905,41.5,-0.8
198906,50.9,-1.3
198907,58.4,1.3
198908,55.4,0.7
198909,44.8,-2.0
198910,35.4,-0.7
198911,19.5,-4.0
198912,-0.7,-10.7
199001,14.6,11.6
199002,8.9,2.8
199003,23.1,4.8
199004,33.7,2.4
199005,40.1,-2.2
199006,53.6,1.4
199007,56.9,-0.2
199008,55.9,1.2
199009,49.6,2.8
199010,33.8,-2.3
199011,27.2,3.7
199012,8.6,-1.4
199101,0.8,-2.2
199102,11.6,5.5
199103,21.9,3.6
199104,35.1,3.8
199105,49.2,6.9
199106,56.8,4.6
199107,57.7,0.6
199108,56.6,1.9
199109,46.1,-0.7
199110,34.7,-1.4
199111,18.2,-5.3
199112,12.2,2.2
199201,13.1,10.1
199202,17.8,11.7
199203,20.8,2.5
199204,31.6,0.3
199205,42.7,0.4
199206,49.4,-2.8
199207,52.9,-4.2
199208,50.9,-3.8
199209,45.9,-0.9
199210,34.2,-1.9
199211,25.2,1.7
199212,13.2,3.2
199301,5.6,2.6
199302,7.3,1.2
199303,18.1,-0.2
199304,29.6,-1.7
199305,43.9,1.6
199306,51.1,-1.1
199307,58.3,1.2
199308,57.5,2.8
199309,42.4,-4.4
199310,33.1,-3.0
199311,22.6,-0.9
199312,15.3,5.3
199401,-6.2,-9.2
199402,1.3,-4.8
199403,21.6,3.3
199404,31.2,-0.1
199405,41.8,-0.5
199406,54.3,2.1
199407,56.6,-0.5
199408,53.4,-1.3
199409,51.1,4.3
199410,39.5,3.4
199411,28.0,4.5
199412,17.3,7.3
199501,9.2,6.2
199502,8.2,2.1
199503,22.3,4.0
199504,28.3,-3.0
199505,42.0,-0.3
199506,56.2,4.0
199507,58.9,1.8
199508,62.4,7.7
199509,44.6,-2.2
199510,37.8,1.7
199511,16.7,-6.8
199512,8.1,-1.9
199601,-1.2,-4.2
199602,5.7,-0.4
199603,12.6,-5.7
199604,27.5,-3.8
199605,40.6,-1.7
199606,54.1,1.9
199607,54.8,-2.3
199608,55.4,0.7
199609,48.4,1.6
199610,35.5,-0.6
199611,18.5,-5.0
199612,10.9,0.9
199701,2.9,-0.1
199702,11.4,5.3
199703,19.5,1.2
199704,29.2,-2.1
199705,37.7,-4.6
199706,53.8,1.6
199707,57.1,0.0
199708,53.4,-1.3
199709,48.7,1.9
199710,36.9,0.8
199711,22.7,-0.8
199712,19.8,9.8
199801,13.8,10.8
199802,24.5,18.4
199803,23.0,4.7
199804,35.0,3.7
199805,47.8,5.5
199806,52.9,0.7
199807,57.6,0.5
199808,57.9,3.2
199809,50.1,3.3
199810,38.9,2.8
199811,29.5,6.0
199812,15.8,5.8
199901,3.2,0.2
199902,17.9,11.8
199903,20.8,2.5
199904,35.3,4.0
199905,46.4,4.1
199906,54.2,2.0
199907,61.5,4.4
199908,55.3,0.6
199909,45.7,-1.1
199910,33.9,-2.2
