Wyoming, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,5.6,-2.3
198002,13.5,2.5
198003,17.5,-0.1
198004,26.9,0.4
198005,37.1,1.5
198006,43.7,0.1
198007,51.1,1.1
198008,46.6,-1.5
198009,40.0,1.1
198010,28.7,-0.5
198011,19.8,1.8
198012,19.3,9.0
198101,15.4,7.5
198102,13.9,2.9
198103,21.8,4.2
198104,30.6,4.1
198105,37.1,1.5
198106,44.6,1.0
198107,50.6,0.6
198108,48.2,0.1
198109,41.3,2.4
198110,29.1,-0.1
198111,22.1,4.1
198112,14.0,3.7
198201,5.5,-2.4
198202,9.4,-1.6
198203,19.5,1.9
198204,22.6,-3.9
198205,34.3,-1.3
198206,42.1,-1.5
198207,49.8,-0.2
198208,51.3,3.2
198209,40.3,1.4
198210,28.9,-0.3
198211,16.5,-1.5
198212,11.4,1.1
198301,16.2,8.3
198302,16.5,5.5
198303,22.4,4.8
198304,23.5,-3.0
198305,32.5,-3.1
198306,43.2,-0.4
198307,50.0,0.0
198308,53.7,5.6
198309,39.8,0.9
198310,31.3,2.1
198311,18.8,0.8
198312,-0.7,-11.0
198401,8.0,0.1
198402,11.8,0.8
198403,19.5,1.9
198404,23.9,-2.6
198405,35.4,-0.2
198406,42.5,-1.1
198407,51.4,1.4
198408,51.0,2.9
198409,36.3,-2.6
198410,25.4,-3.8
198411,18.8,0.8
198412,6.1,-4.2
198501,2.9,-5.0
198502,5.1,-5.9
198503,16.5,-1.1
198504,28.6,2.1
198505,37.4,1.8
198506,43.1,-0.5
198507,52.0,2.0
198508,45.4,-2.7
198509,36.4,-2.5
198510,27.4,-1.8
198511,9.3,-8.7
198512,7.9,-2.4
198601,14.7,6.8
198602,14.3,3.3
198603,26.0,8.4
198604,28.3,1.8
198605,33.5,-2.1
198606,47.3,3.7
198607,48.3,-1.7
198608,48.4,0.3
198609,38.0,-0.9
198610,30.2,1.0
198611,17.9,-0.1
198612,10.8,0.5
198701,9.0,1.1
198702,16.4,5.4
198703,18.8,1.2
198704,29.4,2.9
198705,40.0,4.4
198706,45.1,1.5
198707,49.9,-0.1
198708,45.9,-2.2
198709,38.2,-0.7
198710,28.5,-0.7
198711,20.7,2.7
198712,10.0,-0.3
198801,5.8,-2.1
198802,11.8,0.8
198803,17.7,0.1
198804,27.6,1.1
198805,36.6,1.0
198806,50.3,6.7
198807,51.8,1.8
198808,47.8,-0.3
198809,38.3,-0.6
198810,32.6,3.4
198811,19.1,1.1
198812,10.5,0.2
198901,9.3,1.4
198902,1.9,-9.1
198903,20.3,2.7
198904,28.3,1.8
198905,35.8,0.2
198906,42.4,-1.2
198907,52.6,2.6
198908,47.7,-0.4
198909,38.8,-0.1
198910,30.0,0.8
198911,21.2,3.2
198912,8.8,-1.5
199001,13.8,5.9
199002,11.1,0.1
199003,20.3,2.7
199004,28.9,2.4
199005,33.5,-2.1
199006,44.4,0.8
199007,50.2,0.2
199008,48.8,0.7
199009,44.1,5.2
199010,28.5,-0.7
199011,21.2,3.2
199012,0.9,-9.4
199101,6.0,-1.9
199102,19.0,8.0
199103,19.9,2.3
199104,26.4,-0.1
199105,36.9,1.3
199106,45.4,1.8
199107,50.2,0.2
199108,50.5,2.4
199109,40.2,1.3
199110,27.3,-1.9
199111,16.3,-1.7
199112,11.2,0.9
199201,10.7,2.8
199202,18.4,7.4
199203,24.6,7.0
199204,30.6,4.1
199205,38.5,2.9
199206,44.8,1.2
199207,46.9,-3.1
199208,46.6,-1.5
199209,38.7,-0.2
199210,31.0,1.8
199211,16.0,-2.0
199212,6.1,-4.2
199301,5.8,-2.1
199302,4.5,-6.5
199303,20.8,3.2
199304,26.7,0.2
199305,37.7,2.1
199306,41.6,-2.0
199307,44.6,-5.4
199308,45.4,-2.7
199309,36.8,-2.1
199310,28.4,-0.8
199311,12.9,-5.1
199312,13.0,2.7
199401,13.6,5.7
199402,8.6,-2.4
199403,21.6,4.0
199404,27.4,0.9
199405,39.3,3.7
199406,45.3,1.7
199407,49.0,-1.0
199408,50.0,1.9
199409,41.0,2.1
199410,30.2,1.0
199411,15.7,-2.3
199412,15.2,4.9
199501,12.0,4.1
199502,17.2,6.2
199503,20.0,2.4
199504,25.3,-1.2
199505,33.8,-1.8
199506,42.2,-1.4
199507,48.3,-1.7
199508,49.6,1.5
199509,39.9,1.0
199510,27.4,-1.8
199511,22.4,4.4
199512,13.6,3.3
199601,6.4,-1.5
199602,12.2,1.2
199603,16.1,-1.5
199604,26.9,0.4
199605,35.5,-0.1
199606,45.0,1.4
199607,50.1,0.1
199608,47.8,-0.3
199609,37.9,-1.0
199610,28.3,-0.9
199611,18.8,0.8
199612,12.2,1.9
199701,8.8,0.9
199702,11.4,0.4
199703,19.8,2.2
199704,22.0,-4.5
199705,35.6,0.0
199706,46.3,2.7
199707,49.4,-0.6
199708,49.8,1.7
199709,43.0,4.1
199710,29.5,0.3
199711,17.3,-0.7
199712,10.8,0.5
199801,12.6,4.7
199802,16.4,5.4
199803,16.9,-0.7
199804,26.8,0.3
199805,36.5,0.9
199806,40.2,-3.4
199807,53.2,3.2
199808,50.0,1.9
199809,45.5,6.6
199810,31.4,2.2
199811,23.8,5.8
199812,10.4,0.1
199901,14.6,6.7
199902,17.1,6.1
199903,20.7,3.1
199904,25.5,-1.0
199905,34.1,-1.5
