Delaware, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,25.7,1.1
198002,21.4,-3.7
198003,31.4,-1.3
198004,43.8,2.8
198005,53.1,2.1
198006,57.6,-2.5
198007,66.3,0.9
198008,66.5,2.7
198009,59.7,2.7
198010,44.4,-1.1
198011,34.1,-1.8
198012,25.2,-2.2
198101,18.8,-5.8
198102,28.4,3.3
198103,30.9,-1.8
198104,44.5,3.5
198105,50.1,-0.9
198106,62.5,2.4
198107,65.8,0.4
198108,61.5,-2.3
198109,55.8,-1.2
198110,42.2,-3.3
198111,36.0,0.1
198112,27.1,-0.3
198201,17.5,-7.1
198202,27.4,2.3
198203,32.3,-0.4
198204,38.2,-2.8
198205,52.3,1.3
198206,59.3,-0.8
198207,65.6,0.2
198208,60.6,-3.2
198209,55.3,-1.7
198210,45.2,-0.3
198211,38.5,2.6
198212,34.5,7.1
198301,26.8,2.2
198302,26.1,1.0
198303,36.7,4.0
198304,41.0,0.0
198305,50.4,-0.6
198306,60.2,0.1
198307,65.0,-0.4
198308,64.8,1.0
198309,56.9,-0.1
198310,48.0,2.5
198311,37.3,1.4
198312,26.4,-1.0
198401,20.3,-4.3
198402,31.7,6.6
198403,29.2,-3.5
198404,41.0,0.0
198405,51.3,0.3
198406,61.6,1.5
198407,64.8,-0.6
198408,65.1,1.3
198409,53.6,-3.4
198410,52.6,7.1
198411,34.2,-1.7
198412,34.2,6.8
198501,20.1,-4.5
198502,27.1,2.0
198503,35.1,2.4
198504,43.2,2.2
198505,53.6,2.6
198506,59.5,-0.6
198507,65.2,-0.2
198508,64.1,0.3
198509,57.1,0.1
198510,49.4,3.9
198511,44.8,8.9
198512,24.8,-2.6
198601,23.8,-0.8
198602,26.2,1.1
198603,33.1,0.4
198604,41.4,0.4
198605,53.1,2.1
198606,60.6,0.5
198607,67.2,1.8
198608,62.7,-1.1
198609,57.1,0.1
198610,48.1,2.6
198611,36.0,0.1
198612,30.1,2.7
198701,24.2,-0.4
198702,22.9,-2.2
198703,33.8,1.1
198704,41.6,0.6
198705,52.2,1.2
198706,62.8,2.7
198707,67.8,2.4
198708,64.2,0.4
198709,59.2,2.2
198710,40.0,-5.5
198711,37.9,2.0
198712,30.9,3.5
198801,19.8,-4.8
198802,26.7,1.6
198803,33.3,0.6
198804,40.6,-0.4
198805,51.4,0.4
198806,59.2,-0.9
198807,67.5,2.1
198808,67.9,4.1
198809,55.2,-1.8
198810,39.9,-5.6
198811,36.6,0.7
198812,26.7,-0.7
198901,28.8,4.2
198902,27.1,2.0
