Florida, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,47.1,0.5
198002,42.9,-5.0
198003,54.6,2.1
198004,57.4,0.0
198005,64.7,1.2
198006,69.1,-0.1
198007,72.6,1.3
198008,72.2,0.7
198009,70.5,0.8
198010,60.8,-1.3
198011,53.5,0.2
198012,43.8,-3.9
198101,35.0,-11.6
198102,46.7,-1.2
198103,48.7,-3.8
198104,59.2,1.8
198105,61.3,-2.2
198106,71.2,2.0
198107,72.0,0.7
198108,71.9,0.4
198109,67.5,-2.2
198110,61.6,-0.5
198111,50.1,-3.2
198112,44.9,-2.8
198201,44.6,-2.0
198202,53.5,5.6
198203,56.1,3.6
198204,59.9,2.5
198205,62.6,-0.9
198206,70.9,1.7
198207,71.8,0.5
198208,71.8,0.3
198209,68.8,-0.9
198210,62.0,-0.1
198211,58.0,4.7
198212,53.5,5.8
198301,44.3,-2.3
198302,47.6,-0.3
198303,50.6,-1.9
198304,54.4,-3.0
198305,62.9,-0.6
198306,69.3,0.1
198307,71.9,0.6
198308,72.5,1.0
198309,68.5,-1.2
198310,63.9,1.8
198311,52.5,-0.8
198312,48.2,0.5
198401,44.8,-1.8
198402,47.7,-0.2
198403,51.1,-1.4
198404,56.7,-0.7
198405,63.8,0.3
198406,67.7,-1.5
198407,70.5,-0.8
198408,71.1,-0.4
198409,68.2,-1.5
198410,63.6,1.5
198411,51.8,-1.5
198412,52.8,5.1
198501,39.6,-7.0
198502,47.9,0.0
198503,54.5,2.0
198504,57.5,0.1
198505,64.0,0.5
198506,70.7,1.5
198507,71.1,-0.2
198508,72.3,0.8
198509,69.2,-0.5
198510,67.6,5.5
198511,61.4,8.1
198512,44.4,-3.3
198601,44.8,-1.8
198602,50.9,3.0
198603,51.4,-1.1
198604,53.2,-4.2
198605,63.0,-0.5
198606,70.3,1.1
198607,72.0,0.7
198608,71.8,0.3
198609,70.7,1.0
198610,63.9,1.8
198611,63.5,10.2
198612,54.0,6.3
198701,44.9,-1.7
198702,49.4,1.5
198703,54.1,1.6
198704,51.9,-5.5
198705,64.9,1.4
198706,70.8,1.6
198707,72.2,0.9
198708,73.1,1.6
198709,69.9,0.2
198710,56.5,-5.6
198711,56.8,3.5
198712,49.9,2.2
198801,44.8,-1.8
198802,44.8,-3.1
198803,51.5,-1.0
198804,57.3,-0.1
198805,60.8,-2.7
198806,68.7,-0.5
198807,71.4,0.1
198808,72.3,0.8
198809,71.8,2.1
198810,58.6,-3.5
198811,57.1,3.8
198812,46.9,-0.8
198901,52.3,5.7
198902,49.5,1.6
198903,56.2,3.7
198904,57.1,-0.3
198905,63.3,-0.2
198906,69.9,0.7
198907,72.0,0.7
198908,71.8,0.3
198909,70.6,0.9
198910,62.0,-0.1
198911,54.1,0.8
198912,40.7,-7.0
199001,50.6,4.0
199002,55.3,7.4
199003,55.0,2.5
199004,56.9,-0.5
199005,65.9,2.4
199006,70.0,0.8
199007,71.9,0.6
199008,71.8,0.3
199009,69.4,-0.3
199010,63.8,1.7
199011,54.2,0.9
199012,51.7,4.0
199101,52.6,6.0
199102,50.5,2.6
199103,55.2,2.7
199104,63.1,5.7
199105,68.9,5.4
199106,70.0,0.8
199107,72.5,1.2
199108,72.4,0.9
199109,69.8,0.1
199110,62.4,0.3
199111,51.1,-2.2
199112,51.2,3.5
199201,45.3,-1.3
199202,51.1,3.2
199203,52.4,-0.1
199204,56.5,-0.9
199205,60.3,-3.2
199206,70.6,1.4
199207,72.6,1.3
199208,71.4,-0.1
199209,70.6,0.9
199210,60.5,-1.6
199211,58.0,4.7
199212,49.9,2.2
199301,54.5,7.9
199302,47.0,-0.9
199303,51.4,-1.1
199304,53.4,-4.0
199305,62.6,-0.9
199306,69.7,0.5
199307,72.2,0.9
199308,71.9,0.4
199309,70.1,0.4
199310,63.2,1.1
199311,55.0,1.7
199312,44.2,-3.5
199401,46.1,-0.5
199402,53.3,5.4
199403,54.2,1.7
199404,60.9,3.5
199405,64.3,0.8
199406,71.1,1.9
199407,71.2,-0.1
199408,71.1,-0.4
