"","State","Year","precip_mm"
"1","Alabama",1980,1485.39
"2","Alabama",1981,1163.32
"3","Alabama",1982,1552.7
"4","Alabama",1983,1787.4
"5","Alabama",1984,1283.46
"6","Alabama",1985,1303.27
"7","Alabama",1986,1213.36
"8","Alabama",1987,1222.5
"9","Alabama",1988,1297.94
"10","Alabama",1989,1656.08
"11","Alabama",1990,1444.5
"12","Alabama",1991,1606.55
"13","Alabama",1992,1518.67
"14","Alabama",1993,1277.11
"15","Alabama",1994,1532.38
"16","Alabama",1995,1513.08
"17","Alabama",1996,1481.58
"18","Alabama",1997,1599.18
"19","Alabama",1998,1505.2
"20","Alabama",1999,1244.85
"21","Alabama",2000,1079.25
"22","Alabama",2001,1499.62
"23","Alabama",2002,1451.1
"24","Alabama",2003,1618.49
"25","Alabama",2004,1520.95
"26","Alabama",2005,1449.83
"27","Alabama",2006,1207.52
"28","Alabama",2007,961.64
"29","Alabama",2008,1347.98
"30","Alabama",2009,1873.76
"31","Alabama",2010,1198.63
"32","Alabama",2011,1288.03
"33","Alabama",2012,1355.85
"34","Alabama",2013,1643.38
"35","Alabama",2014,1423.16
"36","Alabama",2015,1558.54
"37","Alabama",2016,1143.25
"38","Alabama",2017,1630.43
"39","Alabama",2018,1634.24
"40","Arizona",1980,344.93
"41","Arizona",1981,316.74
"42","Arizona",1982,419.61
"43","Arizona",1983,481.84
"44","Arizona",1984,403.35
"45","Arizona",1985,353.06
"46","Arizona",1986,352.3
"47","Arizona",1987,337.31
"48","Arizona",1988,321.06
"49","Arizona",1989,194.82
"50","Arizona",1990,357.63
"51","Arizona",1991,327.91
"52","Arizona",1992,461.01
"53","Arizona",1993,425.96
"54","Arizona",1994,316.23
"55","Arizona",1995,290.58
"56","Arizona",1996,222
"57","Arizona",1997,322.83
"58","Arizona",1998,366.78
"59","Arizona",1999,263.4
"60","Arizona",2000,282.7
"61","Arizona",2001,274.07
"62","Arizona",2002,177.04
"63","Arizona",2003,266.95
"64","Arizona",2004,343.41
"65","Arizona",2005,332.49
"66","Arizona",2006,247.9
"67","Arizona",2007,279.15
"68","Arizona",2008,312.67
"69","Arizona",2009,178.56
"70","Arizona",2010,353.31
"71","Arizona",2011,244.6
"72","Arizona",2012,242.82
"73","Arizona",2013,308.1
"74","Arizona",2014,281.18
"75","Arizona",2015,365.51
"76","Arizona",2016,311.91
"77","Arizona",2017,240.54
"78","Arizona",2018,296.42
"79","Arkansas",1980,1018.54
"80","Arkansas",1981,1094.49
"81","Arkansas",1982,1468.12
"82","Arkansas",1983,1181.35
"83","Arkansas",1984,1553.97
"84","Arkansas",1985,1242.82
"85","Arkansas",1986,1178.31
"86","Arkansas",1987,1348.74
"87","Arkansas",1988,1169.16
"88","Arkansas",1989,1304.29
"89","Arkansas",1990,1699.51
"90","Arkansas",1991,1562.61
"91","Arkansas",1992,1225.8
"92","Arkansas",1993,1321.82
"93","Arkansas",1994,1381.51
"94","Arkansas",1995,1088.14
"95","Arkansas",1996,1314.45
"96","Arkansas",1997,1319.02
"97","Arkansas",1998,1248.92
"98","Arkansas",1999,1112.52
"99","Arkansas",2000,1160.78
"100","Arkansas",2001,1407.41
"101","Arkansas",2002,1341.88
"102","Arkansas",2003,1138.94
"103","Arkansas",2004,1448.31
"104","Arkansas",2005,908.05
"105","Arkansas",2006,1252.98
"106","Arkansas",2007,1186.18
"107","Arkansas",2008,1536.19
"108","Arkansas",2009,1833.88
"109","Arkansas",2010,985.27
"110","Arkansas",2011,1418.34
"111","Arkansas",2012,1011.17
"112","Arkansas",2013,1377.7
"113","Arkansas",2014,1216.91
"114","Arkansas",2015,1709.67
"115","Arkansas",2016,1281.18
"116","Arkansas",2017,1276.6
"117","Arkansas",2018,1633.73
"118","California",1980,612.65
"119","California",1981,666.5
"120","California",1982,812.55
"121","California",1983,1078.48
"122","California",1984,465.33
"123","California",1985,373.38
"124","California",1986,615.95
"125","California",1987,500.38
"126","California",1988,434.34
"127","California",1989,379.73
"128","California",1990,355.35
"129","California",1991,502.67
"130","California",1992,590.04
"131","California",1993,678.18
"132","California",1994,445.52
"133","California",1995,894.08
"134","California",1996,825.75
"135","California",1997,523.24
"136","California",1998,924.81
"137","California",1999,447.8
"138","California",2000,544.32
"139","California",2001,584.71
"140","California",2002,474.47
"141","California",2003,549.4
"142","California",2004,552.7
"143","California",2005,764.54
"144","California",2006,599.69
"145","California",2007,351.28
"146","California",2008,453.39
"147","California",2009,433.07
"148","California",2010,791.97
"149","California",2011,477.27
"150","California",2012,595.63
"151","California",2013,201.42
"152","California",2014,505.46
"153","California",2015,382.02
"154","California",2016,653.54
"155","California",2017,715.52
"156","California",2018,458.98
"157","Colorado",1980,452.37
"158","Colorado",1981,477.27
"159","Colorado",1982,503.94
