Alabama, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,58.48,3.23
198112,45.80,-9.45
198212,61.13,5.88
198312,70.37,15.12
198412,50.53,-4.72
198512,51.31,-3.94
198612,47.77,-7.48
198712,48.13,-7.12
198812,51.10,-4.15
198912,65.20,9.95
199012,56.87,1.62
199112,63.25,8.00
199212,59.79,4.54
199312,50.28,-4.97
199412,60.33,5.08
199512,59.57,4.32
199612,58.33,3.08
199712,62.96,7.71
199812,59.26,4.01
199912,49.01,-6.24
200012,42.49,-12.76
200112,59.04,3.79
200212,57.13,1.88
200312,63.72,8.47
200412,59.88,4.63
200512,57.08,1.83
200612,47.54,-7.71
200712,37.86,-17.39
200812,53.07,-2.18
200912,73.77,18.52
201012,47.19,-8.06
201112,50.71,-4.54
201212,53.38,-1.87
201312,64.70,9.45
201412,56.03,0.78
201512,61.36,6.11
201612,45.01,-10.24
201712,64.19,8.94
201812,64.34,9.09
