Idaho, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,28.67,4.80
198112,26.14,2.27
198212,30.55,6.68
198312,31.41,7.54
198412,27.35,3.48
198512,20.14,-3.73
198612,25.08,1.21
198712,18.42,-5.45
198812,20.49,-3.38
198912,20.96,-2.91
199012,23.41,-0.46
199112,22.42,-1.45
199212,18.96,-4.91
199312,24.08,0.21
199412,20.39,-3.48
199512,31.11,7.24
199612,32.10,8.23
199712,25.28,1.41
199812,28.95,5.08
199912,22.64,-1.23
200012,20.89,-2.98
200112,19.13,-4.74
200212,18.98,-4.89
200312,22.56,-1.31
200412,23.18,-0.69
200512,24.58,0.71
200612,26.38,2.51
200712,19.56,-4.31
200812,21.97,-1.90
200912,22.88,-0.99
201012,26.14,2.27
201112,24.69,0.82
201212,25.71,1.84
201312,17.64,-6.23
201412,26.47,2.60
201512,22.52,-1.35
201612,24.88,1.01
201712,28.83,4.96
201812,21.85,-2.02
