Illinois, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,33.65,-3.82
198112,41.69,4.22
198212,46.58,9.11
198312,41.29,3.82
198412,41.31,3.84
198512,45.63,8.16
198612,37.45,-0.02
198712,34.69,-2.78
198812,29.33,-8.14
198912,32.39,-5.08
199012,49.94,12.47
199112,36.12,-1.35
199212,35.81,-1.66
199312,51.18,13.71
199412,35.51,-1.96
199512,38.91,1.44
199612,38.82,1.35
199712,35.10,-2.37
199812,44.49,7.02
199912,35.71,-1.76
200012,39.77,2.30
200112,39.65,2.18
200212,39.06,1.59
200312,37.78,0.31
200412,39.97,2.50
200512,31.43,-6.04
200612,40.64,3.17
200712,36.69,-0.78
200812,50.17,12.70
200912,50.96,13.49
201012,40.68,3.21
201112,46.10,8.63
201212,30.11,-7.36
201312,42.49,5.02
201412,41.29,3.82
201512,48.80,11.33
201612,39.75,2.28
201712,37.80,0.33
201812,45.80,8.33
