Indiana, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,36.00,-3.73
198112,41.21,1.48
198212,44.88,5.15
198312,40.71,0.98
198412,40.59,0.86
198512,45.45,5.72
198612,39.67,-0.06
198712,34.87,-4.86
198812,34.25,-5.48
198912,43.42,3.69
199012,53.54,13.81
199112,36.31,-3.42
199212,40.34,0.61
199312,48.59,8.86
199412,35.56,-4.17
199512,38.26,-1.47
199612,47.67,7.94
199712,39.80,0.07
199812,44.88,5.15
199912,35.04,-4.69
200012,43.40,3.67
200112,43.96,4.23
200212,42.19,2.46
200312,46.40,6.67
200412,43.40,3.67
200512,40.89,1.16
200612,51.02,11.29
200712,41.79,2.06
200812,49.69,9.96
200912,46.06,6.33
201012,37.39,-2.34
201112,55.20,15.47
201212,33.82,-5.91
201312,45.14,5.41
201412,43.57,3.84
201512,47.51,7.78
201612,43.38,3.65
201712,45.61,5.88
201812,50.05,10.32
