Iowa, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,29.09,-3.00
198112,31.99,-0.10
198212,41.44,9.35
198312,36.52,4.43
198412,36.92,4.83
198512,31.15,-0.94
198612,39.90,7.81
198712,32.85,0.76
198812,21.48,-10.61
198912,24.69,-7.40
199012,38.91,6.82
199112,37.74,5.65
199212,36.21,4.12
199312,47.88,15.79
199412,29.55,-2.54
199512,32.26,0.17
199612,33.66,1.57
199712,29.21,-2.88
199812,39.57,7.48
199912,32.28,0.19
200012,29.73,-2.36
200112,34.59,2.50
200212,29.48,-2.61
200312,28.69,-3.40
200412,35.41,3.32
200512,29.84,-2.25
200612,32.40,0.31
200712,42.41,10.32
200812,42.92,10.83
200912,39.15,7.06
201012,44.05,11.96
201112,31.83,-0.26
201212,25.61,-6.48
201312,34.44,2.35
201412,38.69,6.60
201512,42.53,10.44
201612,38.10,6.01
201712,32.36,0.27
201812,45.08,12.99
