Kansas, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,21.58,-5.48
198112,29.94,2.88
198212,28.57,1.51
198312,26.42,-0.64
198412,28.92,1.86
198512,32.91,5.85
198612,31.40,4.34
198712,32.22,5.16
198812,19.84,-7.22
198912,26.44,-0.62
199012,27.93,0.87
199112,23.15,-3.91
199212,33.79,6.73
199312,38.47,11.41
199412,25.00,-2.06
199512,29.68,2.62
199612,30.76,3.70
199712,30.29,3.23
199812,32.31,5.25
199912,30.26,3.20
200012,25.48,-1.58
200112,27.75,0.69
200212,22.44,-4.62
200312,25.11,-1.95
200412,30.91,3.85
200512,29.60,2.54
200612,24.73,-2.33
200712,33.26,6.20
200812,33.34,6.28
200912,31.80,4.74
201012,27.84,0.78
201112,24.17,-2.89
201212,19.29,-7.77
201312,29.03,1.97
201412,25.43,-1.63
201512,32.78,5.72
201612,30.68,3.62
201712,29.03,1.97
201812,31.82,4.76
