Kentucky, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,37.26,-9.68
198112,43.92,-3.02
198212,50.25,3.31
198312,47.83,0.89
198412,52.70,5.76
198512,44.42,-2.52
198612,42.58,-4.36
198712,38.44,-8.50
198812,43.55,-3.39
198912,57.74,10.80
199012,55.41,8.47
199112,46.03,-0.91
199212,42.79,-4.15
199312,46.87,-0.07
199412,48.66,1.72
199512,47.95,1.01
199612,56.75,9.81
199712,49.05,2.11
199812,49.32,2.38
199912,38.09,-8.85
200012,45.29,-1.65
200112,45.43,-1.51
200212,53.51,6.57
200312,55.98,9.04
200412,55.94,9.00
200512,39.80,-7.14
200612,52.37,5.43
200712,41.86,-5.08
200812,46.51,-0.43
200912,54.35,7.41
201012,43.54,-3.40
201112,64.35,17.41
201212,43.21,-3.73
201312,55.78,8.84
201412,47.11,0.17
201512,58.31,11.37
201612,49.19,2.25
201712,50.26,3.32
201812,63.70,16.76
