Louisiana, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,58.38,1.49
198112,45.56,-11.33
198212,65.42,8.53
198312,68.00,11.11
198412,58.79,1.90
198512,60.41,3.52
198612,53.02,-3.87
198712,60.21,3.32
198812,57.63,0.74
198912,64.00,7.11
199012,58.77,1.88
199112,79.48,22.59
199212,66.56,9.67
199312,58.94,2.05
199412,59.07,2.18
199512,62.33,5.44
199612,53.08,-3.81
199712,64.31,7.42
199812,62.98,6.09
199912,47.84,-9.05
200012,47.80,-9.09
200112,68.31,11.42
200212,64.27,7.38
200312,51.95,-4.94
200412,72.48,15.59
200512,45.57,-11.32
200612,55.40,-1.49
200712,52.42,-4.47
200812,56.13,-0.76
200912,64.04,7.15
201012,41.76,-15.13
201112,43.01,-13.88
201212,62.88,5.99
201312,61.43,4.54
201412,55.94,-0.95
201512,67.31,10.42
201612,67.08,10.19
201712,64.06,7.17
201812,66.49,9.60
