Maine, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,37.39,-4.59
198112,48.38,6.40
198212,37.72,-4.26
198312,55.91,13.93
198412,43.53,1.55
198512,35.54,-6.44
198612,42.53,0.55
198712,38.04,-3.94
198812,38.35,-3.63
198912,41.82,-0.16
199012,51.18,9.20
199112,44.24,2.26
199212,37.50,-4.48
199312,43.61,1.63
199412,41.68,-0.30
199512,42.72,0.74
199612,51.39,9.41
199712,39.51,-2.47
199812,45.24,3.26
199912,46.35,4.37
200012,43.15,1.17
200112,29.83,-12.15
200212,40.98,-1.00
200312,46.02,4.04
200412,38.80,-3.18
200512,61.59,19.61
200612,51.65,9.67
200712,47.63,5.65
200812,56.02,14.04
200912,49.46,7.48
201012,49.31,7.33
201112,50.04,8.06
201212,47.38,5.40
201312,45.61,3.63
201412,49.45,7.47
201512,43.16,1.18
201612,41.36,-0.62
201712,45.32,3.34
201812,46.53,4.55
