Maryland, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,36.71,-5.88
198112,36.54,-6.05
198212,39.70,-2.89
198312,51.37,8.78
198412,45.50,2.91
198512,40.69,-1.90
198612,36.55,-6.04
198712,38.51,-4.08
198812,37.86,-4.73
198912,51.18,8.59
199012,46.27,3.68
199112,35.79,-6.80
199212,42.32,-0.27
199312,45.72,3.13
199412,45.83,3.24
199512,39.53,-3.06
199612,58.97,16.38
199712,38.77,-3.82
199812,42.46,-0.13
199912,44.27,1.68
200012,43.92,1.33
200112,36.02,-6.57
200212,41.47,-1.12
200312,60.74,18.15
200412,46.59,4.00
200512,44.03,1.44
200612,44.97,2.38
200712,36.05,-6.54
200812,45.00,2.41
200912,51.27,8.68
201012,40.89,-1.70
201112,51.11,8.52
201212,40.40,-2.19
201312,46.04,3.45
201412,44.76,2.17
201512,46.86,4.27
201612,41.66,-0.93
201712,41.21,-1.38
201812,64.62,22.03
