Massachusetts, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,35.53,-9.12
198112,43.16,-1.49
198212,45.71,1.06
198312,59.42,14.77
198412,49.90,5.25
198512,40.55,-4.10
198612,48.40,3.75
198712,45.27,0.62
198812,42.31,-2.34
198912,50.38,5.73
199012,52.01,7.36
199112,48.23,3.58
199212,44.79,0.14
199312,44.45,-0.20
199412,47.81,3.16
199512,41.49,-3.16
199612,60.61,15.96
199712,41.12,-3.53
199812,50.16,5.51
199912,46.04,1.39
200012,50.19,5.54
200112,39.98,-4.67
200212,47.23,2.58
200312,53.29,8.64
200412,46.50,1.85
200512,57.01,12.36
200612,53.70,9.05
200712,45.49,0.84
200812,59.70,15.05
200912,51.71,7.06
201012,49.63,4.98
201112,60.83,16.18
201212,41.78,-2.87
201312,46.39,1.74
201412,50.10,5.45
201512,41.39,-3.26
201612,36.83,-7.82
201712,46.82,2.17
201812,61.04,16.39
