Arizona, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,13.58,0.96
198112,12.47,-0.15
198212,16.52,3.90
198312,18.97,6.35
198412,15.88,3.26
198512,13.90,1.28
198612,13.87,1.25
198712,13.28,0.66
198812,12.64,0.02
198912,7.67,-4.95
199012,14.08,1.46
199112,12.91,0.29
199212,18.15,5.53
199312,16.77,4.15
199412,12.45,-0.17
199512,11.44,-1.18
199612,8.74,-3.88
199712,12.71,0.09
199812,14.44,1.82
199912,10.37,-2.25
200012,11.13,-1.49
200112,10.79,-1.83
200212,6.97,-5.65
200312,10.51,-2.11
200412,13.52,0.90
200512,13.09,0.47
200612,9.76,-2.86
200712,10.99,-1.63
200812,12.31,-0.31
200912,7.03,-5.59
201012,13.91,1.29
201112,9.63,-2.99
201212,9.56,-3.06
201312,12.13,-0.49
201412,11.07,-1.55
201512,14.39,1.77
201612,12.28,-0.34
201712,9.47,-3.15
201812,11.67,-0.95
