Michigan, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,31.59,0.46
198112,32.12,0.99
198212,34.47,3.34
198312,34.87,3.74
198412,31.96,0.83
198512,39.22,8.09
198612,34.80,3.67
198712,30.44,-0.69
198812,32.35,1.22
198912,27.57,-3.56
199012,36.19,5.06
199112,35.50,4.37
199212,33.36,2.23
199312,32.44,1.31
199412,32.39,1.26
199512,31.83,0.70
199612,34.00,2.87
199712,29.93,-1.20
199812,29.56,-1.57
199912,31.40,0.27
200012,33.02,1.89
200112,35.17,4.04
200212,30.90,-0.23
200312,31.08,-0.05
200412,35.35,4.22
200512,29.89,-1.24
200612,35.85,4.72
200712,30.66,-0.47
200812,36.85,5.72
200912,33.87,2.74
201012,31.22,0.09
201112,36.82,5.69
201212,31.00,-0.13
201312,38.23,7.10
201412,36.66,5.53
201512,31.74,0.61
201612,35.86,4.73
201712,39.27,8.14
201812,36.16,5.03
