Minnesota, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,22.07,-3.91
198112,28.05,2.07
198212,29.82,3.84
198312,29.13,3.15
198412,28.01,2.03
198512,30.69,4.71
198612,31.45,5.47
198712,22.09,-3.89
198812,22.41,-3.57
198912,22.47,-3.51
199012,26.36,0.38
199112,32.20,6.22
199212,25.47,-0.51
199312,31.44,5.46
199412,28.23,2.25
199512,29.51,3.53
199612,27.77,1.79
199712,25.20,-0.78
199812,28.83,2.85
199912,29.67,3.69
200012,27.98,2.00
200112,29.28,3.30
200212,28.59,2.61
200312,22.20,-3.78
200412,29.87,3.89
200512,31.60,5.62
200612,22.78,-3.20
200712,29.21,3.23
200812,27.34,1.36
200912,26.39,0.41
201012,33.44,7.46
201112,24.35,-1.63
201212,26.17,0.19
201312,29.01,3.03
201412,29.12,3.14
201512,29.46,3.48
201612,33.54,7.56
201712,28.30,2.32
201812,30.08,4.10
