Mississippi, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,61.97,6.50
198112,42.34,-13.13
198212,66.54,11.07
198312,74.32,18.85
198412,54.93,-0.54
198512,52.77,-2.70
198612,48.80,-6.67
198712,52.33,-3.14
198812,52.40,-3.07
198912,65.52,10.05
199012,60.97,5.50
199112,73.90,18.43
199212,56.01,0.54
199312,55.08,-0.39
199412,60.49,5.02
199512,57.45,1.98
199612,54.12,-1.35
199712,64.85,9.38
199812,57.05,1.58
199912,47.90,-7.57
200012,44.64,-10.83
200112,66.28,10.81
200212,66.08,10.61
200312,58.98,3.51
200412,65.81,10.34
200512,50.64,-4.83
200612,52.47,-3.00
200712,41.78,-13.69
200812,59.44,3.97
200912,68.42,12.95
201012,43.91,-11.56
201112,52.84,-2.63
201212,59.17,3.70
201312,62.93,7.46
201412,58.22,2.75
201512,60.57,5.10
201612,53.13,-2.34
201712,58.93,3.46
201812,66.74,11.27
