Missouri, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,28.84,-11.66
198112,44.21,3.71
198212,50.81,10.31
198312,41.18,0.68
198412,46.30,5.80
198512,51.76,11.26
198612,42.43,1.93
198712,40.29,-0.21
198812,34.21,-6.29
198912,33.32,-7.18
199012,50.45,9.95
199112,39.12,-1.38
199212,41.75,1.25
199312,56.61,16.11
199412,42.08,1.58
199512,42.05,1.55
199612,43.68,3.18
199712,39.81,-0.69
199812,49.87,9.37
199912,36.85,-3.65
200012,35.70,-4.80
200112,43.61,3.11
200212,40.21,-0.29
200312,40.03,-0.47
200412,44.53,4.03
200512,36.41,-4.09
200612,38.01,-2.49
200712,39.58,-0.92
200812,56.10,15.60
200912,51.71,11.21
201012,44.57,4.07
201112,45.70,5.20
201212,31.03,-9.47
201312,45.71,5.21
201412,39.32,-1.18
201512,55.52,15.02
201612,39.44,-1.06
201712,41.45,0.95
201812,43.00,2.50
