Montana, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,19.83,1.18
198112,18.68,0.03
198212,22.41,3.76
198312,17.33,-1.32
198412,16.51,-2.14
198512,17.15,-1.50
198612,20.86,2.21
198712,15.90,-2.75
198812,14.53,-4.12
198912,21.16,2.51
199012,16.90,-1.75
199112,20.06,1.41
199212,17.51,-1.14
199312,22.50,3.85
199412,16.05,-2.60
199512,22.02,3.37
199612,20.60,1.95
199712,19.44,0.79
199812,20.25,1.60
199912,17.44,-1.21
200012,15.67,-2.98
200112,14.94,-3.71
200212,17.17,-1.48
200312,17.39,-1.26
200412,16.84,-1.81
200512,20.01,1.36
200612,18.24,-0.41
200712,17.97,-0.68
200812,19.48,0.83
200912,17.45,-1.20
201012,21.99,3.34
201112,22.85,4.20
201212,16.81,-1.84
201312,20.02,1.37
201412,21.60,2.95
201512,16.88,-1.77
201612,21.17,2.52
201712,17.43,-1.22
201812,19.93,1.28
