Nebraska, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,17.17,-5.47
198112,24.16,1.52
198212,27.51,4.87
198312,25.12,2.48
198412,25.85,3.21
198512,22.45,-0.19
198612,26.80,4.16
198712,25.37,2.73
198812,20.12,-2.52
198912,16.71,-5.93
199012,21.50,-1.14
199112,22.03,-0.61
199212,25.59,2.95
199312,31.87,9.23
199412,21.91,-0.73
199512,25.19,2.55
199612,25.49,2.85
199712,22.14,-0.50
199812,25.93,3.29
199912,22.84,0.20
200012,20.36,-2.28
200112,24.48,1.84
200212,15.65,-6.99
200312,19.98,-2.66
200412,22.93,0.29
200512,23.57,0.93
200612,21.56,-1.08
200712,28.64,6.00
200812,28.10,5.46
200912,25.70,3.06
201012,27.07,4.43
201112,25.81,3.17
201212,13.36,-9.28
201312,23.44,0.80
201412,24.98,2.34
201512,28.07,5.43
201612,25.31,2.67
201712,25.34,2.70
201812,29.22,6.58
