Nevada, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,12.98,2.68
198112,10.71,0.41
198212,13.64,3.34
198312,17.80,7.50
198412,12.12,1.82
198512,8.74,-1.56
198612,9.10,-1.20
198712,12.07,1.77
198812,9.38,-0.92
198912,7.55,-2.75
199012,9.16,-1.14
199112,10.07,-0.23
199212,9.72,-0.58
199312,10.79,0.49
199412,9.53,-0.77
199512,13.75,3.45
199612,12.19,1.89
199712,10.01,-0.29
199812,16.91,6.61
199912,7.74,-2.56
200012,10.48,0.18
200112,8.93,-1.37
200212,6.24,-4.06
200312,9.82,-0.48
200412,11.35,1.05
200512,13.55,3.25
200612,9.67,-0.63
200712,7.59,-2.71
200812,7.69,-2.61
200912,9.22,-1.08
201012,13.06,2.76
201112,8.62,-1.68
201212,8.89,-1.41
201312,7.46,-2.84
201412,9.92,-0.38
201512,11.34,1.04
201612,11.15,0.85
201712,11.17,0.87
201812,9.27,-1.03
