New Hampshire, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,35.92,-7.52
198112,49.44,6.00
198212,39.68,-3.76
198312,56.45,13.01
198412,47.70,4.26
198512,38.64,-4.80
198612,46.90,3.46
198712,43.16,-0.28
198812,41.17,-2.27
198912,45.87,2.43
199012,53.75,10.31
199112,46.41,2.97
199212,38.99,-4.45
199312,42.13,-1.31
199412,43.76,0.32
199512,43.66,0.22
199612,57.33,13.89
199712,43.12,-0.32
199812,47.57,4.13
199912,46.18,2.74
200012,48.77,5.33
200112,34.87,-8.57
200212,44.89,1.45
200312,50.38,6.94
200412,43.24,-0.20
200512,61.09,17.65
200612,58.25,14.81
200712,48.33,4.89
200812,60.78,17.34
200912,51.67,8.23
201012,50.00,6.56
201112,57.49,14.05
201212,45.18,1.74
201312,45.76,2.32
201412,49.64,6.20
201512,44.01,0.57
201612,39.57,-3.87
201712,49.17,5.73
201812,51.96,8.52
