New Jersey, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,38.20,-6.76
198112,38.88,-6.08
198212,39.95,-5.01
198312,58.50,13.54
198412,49.13,4.17
198512,39.46,-5.50
198612,45.69,0.73
198712,44.74,-0.22
198812,40.02,-4.94
198912,54.54,9.58
199012,48.96,4.00
199112,42.41,-2.55
199212,41.70,-3.26
199312,44.71,-0.25
199412,47.31,2.35
199512,39.70,-5.26
199612,59.18,14.22
199712,42.87,-2.09
199812,41.75,-3.21
199912,47.26,2.30
200012,45.25,0.29
200112,35.55,-9.41
200212,45.91,0.95
200312,56.48,11.52
200412,48.70,3.74
200512,48.81,3.85
200612,51.41,6.45
200712,46.93,1.97
200812,47.22,2.26
200912,53.17,8.21
201012,44.60,-0.36
201112,63.95,18.99
201212,41.99,-2.97
201312,46.38,1.42
201412,48.95,3.99
201512,43.86,-1.10
201612,39.59,-5.37
201712,44.92,-0.04
201812,64.78,19.82
