New Mexico, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,12.19,-1.80
198112,15.22,1.23
198212,15.01,1.02
198312,14.32,0.33
198412,17.62,3.63
198512,17.46,3.47
198612,20.57,6.58
198712,14.96,0.97
198812,15.93,1.94
198912,11.01,-2.98
199012,15.96,1.97
199112,19.02,5.03
199212,15.53,1.54
199312,14.10,0.11
199412,14.43,0.44
199512,11.74,-2.25
199612,14.13,0.14
199712,18.64,4.65
199812,14.10,0.11
199912,14.95,0.96
200012,13.36,-0.63
200112,11.82,-2.17
200212,12.29,-1.70
200312,9.07,-4.92
200412,17.25,3.26
200512,14.34,0.35
200612,15.97,1.98
200712,14.75,0.76
200812,13.74,-0.25
200912,11.94,-2.05
201012,14.82,0.83
201112,9.80,-4.19
201212,8.41,-5.58
201312,13.67,-0.32
201412,13.20,-0.79
201512,19.33,5.34
201612,12.94,-1.05
201712,14.80,0.81
201812,12.77,-1.22
