Arkansas, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,40.10,-9.51
198112,43.09,-6.52
198212,57.80,8.19
198312,46.51,-3.10
198412,61.18,11.57
198512,48.93,-0.68
198612,46.39,-3.22
198712,53.10,3.49
198812,46.03,-3.58
198912,51.35,1.74
199012,66.91,17.30
199112,61.52,11.91
199212,48.26,-1.35
199312,52.04,2.43
199412,54.39,4.78
199512,42.84,-6.77
199612,51.75,2.14
199712,51.93,2.32
199812,49.17,-0.44
199912,43.80,-5.81
200012,45.70,-3.91
200112,55.41,5.80
200212,52.83,3.22
200312,44.84,-4.77
200412,57.02,7.41
200512,35.75,-13.86
200612,49.33,-0.28
200712,46.70,-2.91
200812,60.48,10.87
200912,72.20,22.59
201012,38.79,-10.82
201112,55.84,6.23
201212,39.81,-9.80
201312,54.24,4.63
201412,47.91,-1.70
201512,67.31,17.70
201612,50.44,0.83
201712,50.26,0.65
201812,64.32,14.71
