New York, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,36.27,-4.02
198112,40.15,-0.14
198212,37.32,-2.97
198312,45.60,5.31
198412,42.59,2.30
198512,38.93,-1.36
198612,44.68,4.39
198712,39.54,-0.75
198812,35.74,-4.55
198912,42.80,2.51
199012,50.02,9.73
199112,37.07,-3.22
199212,42.69,2.40
199312,41.37,1.08
199412,42.11,1.82
199512,37.10,-3.19
199612,50.83,10.54
199712,39.01,-1.28
199812,41.40,1.11
199912,38.77,-1.52
200012,46.24,5.95
200112,34.14,-6.15
200212,43.56,3.27
200312,48.02,7.73
200412,45.17,4.88
200512,46.85,6.56
200612,48.89,8.60
200712,44.47,4.18
200812,47.73,7.44
200912,42.37,2.08
201012,43.92,3.63
201112,55.71,15.42
201212,39.56,-0.73
201312,43.99,3.70
201412,43.22,2.93
201512,40.64,0.35
201612,38.17,-2.12
201712,47.38,7.09
201812,48.62,8.33
