North Carolina, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,44.31,-5.02
198112,40.76,-8.57
198212,52.16,2.83
198312,52.87,3.54
198412,50.95,1.62
198512,47.00,-2.33
198612,38.89,-10.44
198712,47.99,-1.34
198812,39.90,-9.43
198912,60.57,11.24
199012,48.60,-0.73
199112,47.87,-1.46
199212,52.61,3.28
199312,46.14,-3.19
199412,50.11,0.78
199512,54.35,5.02
199612,56.79,7.46
199712,46.09,-3.24
199812,53.83,4.50
199912,52.47,3.14
200012,44.36,-4.97
200112,37.81,-11.52
200212,47.53,-1.80
200312,63.16,13.83
200412,49.15,-0.18
200512,47.58,-1.75
200612,51.17,1.84
200712,34.75,-14.58
200812,45.81,-3.52
200912,53.20,3.87
201012,46.27,-3.06
201112,45.99,-3.34
201212,46.62,-2.71
201312,56.45,7.12
201412,50.08,0.75
201512,58.32,8.99
201612,50.61,1.28
201712,47.96,-1.37
201812,68.36,19.03
