North Dakota, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,16.75,-0.59
198112,17.08,-0.26
198212,21.42,4.08
198312,15.72,-1.62
198412,15.89,-1.45
198512,17.33,-0.01
198612,21.79,4.45
198712,16.10,-1.24
198812,11.43,-5.91
198912,14.33,-3.01
199012,15.07,-2.27
199112,19.72,2.38
199212,14.72,-2.62
199312,22.95,5.61
199412,20.40,3.06
199512,19.59,2.25
199612,18.52,1.18
199712,16.52,-0.82
199812,21.18,3.84
199912,20.44,3.10
200012,21.31,3.97
200112,16.82,-0.52
200212,15.83,-1.51
200312,16.24,-1.10
200412,18.86,1.52
200512,20.98,3.64
200612,14.02,-3.32
200712,19.00,1.66
200812,19.76,2.42
200912,18.96,1.62
201012,23.48,6.14
201112,21.44,4.10
201212,15.09,-2.25
201312,23.28,5.94
201412,18.61,1.27
201512,17.72,0.38
201612,21.85,4.51
201712,12.99,-4.35
201812,17.75,0.41
