Ohio, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,39.64,1.35
198112,39.05,0.76
198212,37.72,-0.57
198312,40.31,2.02
198412,36.90,-1.39
198512,39.97,1.68
198612,38.99,0.70
198712,31.42,-6.87
198812,32.12,-6.17
198912,42.63,4.34
199012,51.07,12.78
199112,31.61,-6.68
199212,39.78,1.49
199312,38.63,0.34
199412,35.60,-2.69
199512,38.67,0.38
199612,46.85,8.56
199712,38.35,0.06
199812,39.97,1.68
199912,33.07,-5.22
200012,40.85,2.56
200112,37.30,-0.99
200212,38.60,0.31
200312,46.42,8.13
200412,45.45,7.16
200512,40.11,1.82
200612,43.56,5.27
200712,41.16,2.87
200812,44.11,5.82
200912,36.50,-1.79
201012,36.76,-1.53
201112,55.95,17.66
201212,37.28,-1.01
201312,41.69,3.40
201412,38.56,0.27
201512,43.01,4.72
201612,37.39,-0.90
201712,45.51,7.22
201812,50.82,12.53
