Oklahoma, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,26.51,-7.33
198112,35.25,1.41
198212,35.64,1.80
198312,33.02,-0.82
198412,34.15,0.31
198512,42.26,8.42
198612,40.38,6.54
198712,41.28,7.44
198812,29.41,-4.43
198912,35.39,1.55
199012,43.26,9.42
199112,38.72,4.88
199212,41.44,7.60
199312,39.18,5.34
199412,36.27,2.43
199512,37.81,3.97
199612,37.28,3.44
199712,39.31,5.47
199812,36.18,2.34
199912,37.27,3.43
200012,36.93,3.09
200112,31.98,-1.86
200212,35.01,1.17
200312,27.87,-5.97
200412,40.19,6.35
200512,27.56,-6.28
200612,29.81,-4.03
200712,43.57,9.73
200812,38.31,4.47
200912,38.04,4.20
201012,32.04,-1.80
201112,26.24,-7.60
201212,25.70,-8.14
201312,36.70,2.86
201412,28.87,-4.97
201512,53.72,19.88
201612,31.19,-2.65
201712,38.61,4.77
201812,41.02,7.18
