Oregon, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,32.96,0.74
198112,38.03,5.81
198212,38.28,6.06
198312,44.46,12.24
198412,38.08,5.86
198512,23.11,-9.11
198612,33.00,0.78
198712,27.33,-4.89
198812,29.85,-2.37
198912,26.97,-5.25
199012,29.91,-2.31
199112,29.57,-2.65
199212,27.55,-4.67
199312,31.15,-1.07
199412,28.59,-3.63
199512,41.42,9.20
199612,48.87,16.65
199712,32.60,0.38
199812,42.91,10.69
199912,31.64,-0.58
200012,27.91,-4.31
200112,26.84,-5.38
200212,26.21,-6.01
200312,32.06,-0.16
200412,29.69,-2.53
200512,33.22,1.00
200612,36.44,4.22
200712,28.99,-3.23
200812,28.63,-3.59
200912,27.62,-4.60
201012,37.91,5.69
201112,30.68,-1.54
201212,40.08,7.86
201312,22.72,-9.50
201412,35.29,3.07
201512,30.17,-2.05
201612,34.68,2.46
201712,36.22,4.00
201812,25.42,-6.80
