Pennsylvania, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,36.87,-5.11
198112,40.21,-1.77
198212,38.34,-3.64
198312,46.72,4.74
198412,46.11,4.13
198512,41.54,-0.44
198612,43.25,1.27
198712,40.67,-1.31
198812,35.90,-6.08
198912,44.28,2.30
199012,49.70,7.72
199112,33.36,-8.62
199212,41.61,-0.37
199312,45.80,3.82
199412,48.19,6.21
199512,37.51,-4.47
199612,56.31,14.33
199712,38.80,-3.18
199812,40.41,-1.57
199912,41.12,-0.86
200012,41.38,-0.60
200112,34.36,-7.62
200212,43.55,1.57
200312,53.57,11.59
200412,53.90,11.92
200512,42.97,0.99
200612,47.57,5.59
200712,44.12,2.14
200812,45.82,3.84
200912,42.77,0.79
201012,42.31,0.33
201112,61.00,19.02
201212,43.49,1.51
201312,41.82,-0.16
201412,42.43,0.45
201512,43.10,1.12
201612,39.00,-2.98
201712,46.61,4.63
201812,64.07,22.09
