Rhode Island, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,37.37,-7.78
198112,40.29,-4.86
198212,48.86,3.71
198312,63.00,17.85
198412,50.66,5.51
198512,42.32,-2.83
198612,48.59,3.44
198712,42.89,-2.26
198812,42.97,-2.18
198912,55.00,9.85
199012,49.99,4.84
199112,46.72,1.57
199212,48.14,2.99
199312,43.76,-1.39
199412,46.00,0.85
199512,40.19,-4.96
199612,56.46,11.31
199712,40.88,-4.27
199812,56.39,11.24
199912,45.98,0.83
200012,48.84,3.69
200112,43.24,-1.91
200212,47.45,2.30
200312,52.96,7.81
200412,47.61,2.46
200512,57.83,12.68
200612,56.70,11.55
200712,44.46,-0.69
200812,56.70,11.55
200912,54.02,8.87
201012,53.32,8.17
201112,57.53,12.38
201212,41.13,-4.02
201312,43.17,-1.98
201412,47.24,2.09
201512,40.88,-4.27
201612,41.26,-3.89
201712,49.11,3.96
201812,63.18,18.03
