South Dakota, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,14.71,-4.36
198112,17.41,-1.66
198212,25.00,5.93
198312,19.39,0.32
198412,21.34,2.27
198512,18.50,-0.57
198612,25.22,6.15
198712,17.38,-1.69
198812,15.34,-3.73
198912,16.27,-2.80
199012,17.31,-1.76
199112,21.24,2.17
199212,19.83,0.76
199312,25.43,6.36
199412,18.90,-0.17
199512,25.47,6.40
199612,22.91,3.84
199712,21.12,2.05
199812,24.87,5.80
199912,21.61,2.54
200012,19.12,0.05
200112,20.18,1.11
200212,14.30,-4.77
200312,17.13,-1.94
200412,20.79,1.72
200512,20.70,1.63
200612,15.93,-3.14
200712,22.94,3.87
200812,23.68,4.61
200912,22.59,3.52
201012,24.68,5.61
201112,22.13,3.06
201212,14.58,-4.49
201312,24.94,5.87
201412,20.19,1.12
201512,22.78,3.71
201612,20.68,1.61
201712,17.63,-1.44
201812,23.25,4.18
