California, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,24.12,1.73
198112,26.24,3.85
198212,31.99,9.60
198312,42.46,20.07
198412,18.32,-4.07
198512,14.70,-7.69
198612,24.25,1.86
198712,19.70,-2.69
198812,17.10,-5.29
198912,14.95,-7.44
199012,13.99,-8.40
199112,19.79,-2.60
199212,23.23,0.84
199312,26.70,4.31
199412,17.54,-4.85
199512,35.20,12.81
199612,32.51,10.12
199712,20.60,-1.79
199812,36.41,14.02
199912,17.63,-4.76
200012,21.43,-0.96
200112,23.02,0.63
200212,18.68,-3.71
200312,21.63,-0.76
200412,21.76,-0.63
200512,30.10,7.71
200612,23.61,1.22
200712,13.83,-8.56
200812,17.85,-4.54
200912,17.05,-5.34
201012,31.18,8.79
201112,18.79,-3.60
201212,23.45,1.06
201312,7.93,-14.46
201412,19.90,-2.49
201512,15.04,-7.35
201612,25.73,3.34
201712,28.17,5.78
201812,18.07,-4.32
