Tennessee, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,44.78,-6.86
198112,46.51,-5.13
198212,57.73,6.09
198312,54.98,3.34
198412,56.07,4.43
198512,43.19,-8.45
198612,45.15,-6.49
198712,43.03,-8.61
198812,46.38,-5.26
198912,65.53,13.89
199012,60.64,9.00
199112,60.41,8.77
199212,49.64,-2.00
199312,48.25,-3.39
199412,61.91,10.27
199512,52.15,0.51
199612,60.07,8.43
199712,56.51,4.87
199812,57.57,5.93
199912,46.05,-5.59
200012,45.02,-6.62
200112,54.00,2.36
200212,59.22,7.58
200312,61.76,10.12
200412,61.24,9.60
200512,44.68,-6.96
200612,48.87,-2.77
200712,37.72,-13.92
200812,49.77,-1.87
200912,60.28,8.64
201012,49.65,-1.99
201112,62.59,10.95
201212,46.89,-4.75
201312,63.27,11.63
201412,53.52,1.88
201512,59.16,7.52
201612,47.04,-4.60
201712,56.22,4.58
201812,67.15,15.51
