Texas, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,24.37,-2.71
198112,32.18,5.10
198212,26.68,-0.40
198312,25.75,-1.33
198412,26.18,-0.90
198512,29.88,2.80
198612,33.53,6.45
198712,30.36,3.28
198812,20.96,-6.12
198912,25.24,-1.84
199012,31.44,4.36
199112,37.20,10.12
199212,33.60,6.52
199312,27.37,0.29
199412,29.31,2.23
199512,27.68,0.60
199612,24.60,-2.48
199712,34.19,7.11
199812,27.99,0.91
199912,22.05,-5.03
200012,27.83,0.75
200112,29.11,2.03
200212,30.65,3.57
200312,24.20,-2.88
200412,39.36,12.28
200512,22.20,-4.88
200612,25.13,-1.95
200712,36.20,9.12
200812,23.80,-3.28
200912,28.54,1.46
201012,27.81,0.73
201112,14.70,-12.38
201212,24.10,-2.98
201312,26.02,-1.06
201412,24.01,-3.07
201512,41.23,14.15
201612,32.10,5.02
201712,30.28,3.20
201812,33.68,6.60
