Utah, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,17.33,3.77
198112,15.23,1.67
198212,17.64,4.08
198312,20.07,6.51
198412,15.73,2.17
198512,14.80,1.24
198612,15.01,1.45
198712,14.79,1.23
198812,11.18,-2.38
198912,9.04,-4.52
199012,12.15,-1.41
199112,13.51,-0.05
199212,13.00,-0.56
199312,15.64,2.08
199412,13.12,-0.44
199512,15.55,1.99
199612,14.18,0.62
199712,16.80,3.24
199812,17.40,3.84
199912,12.43,-1.13
200012,13.53,-0.03
200112,11.69,-1.87
200212,9.04,-4.52
200312,11.53,-2.03
200412,15.27,1.71
200512,16.68,3.12
200612,14.41,0.85
200712,11.28,-2.28
200812,11.66,-1.90
200912,11.80,-1.76
201012,17.23,3.67
201112,14.71,1.15
201212,10.69,-2.87
201312,13.21,-0.35
201412,13.33,-0.23
201512,15.41,1.85
201612,14.04,0.48
201712,12.83,-0.73
201812,11.61,-1.95
