Vermont, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,35.77,-5.96
198112,47.37,5.64
198212,37.92,-3.81
198312,54.10,12.37
198412,44.61,2.88
198512,39.41,-2.32
198612,46.47,4.74
198712,41.75,0.02
198812,37.64,-4.09
198912,44.92,3.19
199012,54.25,12.52
199112,41.76,0.03
199212,38.56,-3.17
199312,41.79,0.06
199412,43.08,1.35
199512,42.19,0.46
199612,52.62,10.89
199712,42.78,1.05
199812,47.53,5.80
199912,42.45,0.72
200012,48.62,6.89
200112,34.36,-7.37
200212,47.26,5.53
200312,49.82,8.09
200412,41.85,0.12
200512,52.39,10.66
200612,54.28,12.55
200712,48.83,7.10
200812,54.63,12.90
200912,47.43,5.70
201012,49.21,7.48
201112,58.22,16.49
201212,42.35,0.62
201312,46.56,4.83
201412,46.08,4.35
201512,42.44,0.71
201612,38.62,-3.11
201712,46.30,4.57
201812,47.42,5.69
