Virginia, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,35.92,-7.02
198112,36.22,-6.72
198212,45.59,2.65
198312,46.25,3.31
198412,45.38,2.44
198512,44.23,1.29
198612,35.16,-7.78
198712,45.30,2.36
198812,34.96,-7.98
198912,52.51,9.57
199012,45.48,2.54
199112,38.95,-3.99
199212,44.03,1.09
199312,44.97,2.03
199412,45.38,2.44
199512,44.31,1.37
199612,55.89,12.95
199712,38.08,-4.86
199812,45.94,3.00
199912,42.72,-0.22
200012,40.33,-2.61
200112,34.88,-8.06
200212,42.62,-0.32
200312,61.89,18.95
200412,48.94,6.00
200512,39.83,-3.11
200612,46.20,3.26
200712,35.19,-7.75
200812,40.64,-2.30
200912,51.25,8.31
201012,41.74,-1.20
201112,48.30,5.36
201212,40.05,-2.89
201312,51.37,8.43
201412,43.75,0.81
201512,49.76,6.82
201612,45.41,2.47
201712,41.56,-1.38
201812,63.42,20.48
