Washington, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,44.74,2.71
198112,43.80,1.77
198212,47.39,5.36
198312,51.83,9.80
198412,46.97,4.94
198512,29.99,-12.04
198612,41.63,-0.40
198712,34.39,-7.64
198812,39.95,-2.08
198912,36.56,-5.47
199012,50.91,8.88
199112,40.48,-1.55
199212,37.13,-4.90
199312,33.68,-8.35
199412,42.51,0.48
199512,51.08,9.05
199612,54.95,12.92
199712,51.07,9.04
199812,48.61,6.58
199912,49.30,7.27
200012,34.21,-7.82
200112,39.16,-2.87
200212,36.51,-5.52
200312,43.47,1.44
200412,37.65,-4.38
200512,38.64,-3.39
200612,50.26,8.23
200712,40.24,-1.79
200812,37.39,-4.64
200912,39.90,-2.13
201012,47.32,5.29
201112,43.82,1.79
201212,52.87,10.84
201312,35.68,-6.35
201412,48.80,6.77
201512,43.25,1.22
201612,49.14,7.11
201712,48.73,6.70
201812,41.30,-0.73
