West Virginia, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,43.97,-0.69
198112,41.66,-3.00
198212,44.48,-0.18
198312,44.43,-0.23
198412,45.42,0.76
198512,45.27,0.61
198612,43.09,-1.57
198712,38.86,-5.80
198812,35.34,-9.32
198912,54.16,9.50
199012,49.50,4.84
199112,41.77,-2.89
199212,41.19,-3.47
199312,44.31,-0.35
199412,49.45,4.79
199512,44.06,-0.60
199612,59.17,14.51
199712,41.23,-3.43
199812,46.11,1.45
199912,38.98,-5.68
200012,42.59,-2.07
200112,39.86,-4.80
200212,48.56,3.90
200312,59.42,14.76
200412,53.07,8.41
200512,41.89,-2.77
200612,43.63,-1.03
200712,42.85,-1.81
200812,46.04,1.38
200912,46.80,2.14
201012,42.43,-2.23
201112,55.10,10.44
201212,44.62,-0.04
201312,47.59,2.93
201412,42.79,-1.87
201512,48.62,3.96
201612,45.36,0.70
201712,47.01,2.35
201812,65.10,20.44
